<Hotel Name> The Apple Dumpling
<Hotel Address>
<Overall Rating> 3.5
<Avg. Price>
<URL>
<Image URL>

<Review ID> 3515
<Author> Teej T.
<Author Location> Willowbrook, IL
<Title> title
<Content> We came in for a nice family dinner this past Saturday. It was absolutely delicious. The prices are very fair too.I had an amazing BLT. It was perfect. Everyone else enjoyed their food, the menu is rather small, but everything is good! I think between the 9 of us, we tried everything on the menu.The salad bar is nice, everything looked fresh.The service is great, everyone is friendly.But...the high light of the meal, was DESSERT. This is not a place to skip dessert. I don't care if you are counting calories, today is the day to cheat on that diet!! The apple dumplings, are just amazing. I don't usually go for desserts, figured I'd have a bite or two of my husbands though. Well, a bite or two turned into me eating at least half of his apple dumpling, even though I was full already! It is that good. I want the recipe!
<Date> 2014-05-26
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 3516
<Author> Uncle S.
<Author Location> Urbana, IL
<Title> title
<Content> Apple Dumpling is about 10-15 minutes outside C-U proper, on the wild edges of town, and it's a plain, unassuming little spot. It will serve you the friendliest of calorie-laden, heart-attack inducing greasy breakfasty diner foods and the like, and for that you must love it a little bit. The country kitsch works here, and is worth a stop in. I really did enjoy their biscuits and gravy for breakfast, which are filled with carbs and fat and love and all that one can ask for in Middle America.Their Sunday buffet is a little disappointing as it lacks any breakfast options, but the fried chicken is spot on. It's worth coming once for the kitsch, twice for the biscuits and gravy. Then you go to the gym and cry salty, buttery tears on your treadmill.
<Date> 2010-11-08
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 3517
<Author> Elaine W.
<Author Location> Chicago, IL
<Title> title
