<Hotel Name> Monicals Pizza
<Hotel Address>
<Overall Rating> 3.5
<Avg. Price>
<URL>
<Image URL>

<Review ID> 463
<Author> Lisa B.
<Author Location> Chicago, IL
<Title> title
<Content> My favorite pizza place when I come to visit my family up this way. Worked at one when I was 16 lol. Husband loves the thin crust pizza. Breadsticks are great too
<Date> 2014-10-11
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 464
<Author> Paul D.
<Author Location> Champaign, IL
<Title> title
<Content> I eat here occasionally because it is by my work. I think the pizza here is better than at the other one (if you have read my review of the other Monicals you would understand). I typically get carry out and lately they have had coupons for a $4 or $5 individual pizza which is the perfect size for lunch. Yesterday, I ate in with a friend and I must say this place is loud. Over the top loud. I had a very hard time hearing anything my friend said. We finished our food and got out of there so we could visit. Our waitress seem pissed off about something so we were very careful not to ask her for anything. She never smiled in fact, I am not even sure she said 2 words to us. It took 10 minutes for her to come and take our drink order. She also slammed down our salads, the dressing and our drinks and flew off in huff. I swear we did not do anything to make her mad. However, I do believe if I had to work in such a loud place I would be pissed off too. We heard a bunch of plates fall back in the kitchen and we knew what had happened. And that really made her madder. Oh dear! So, we ate our food, paid our bill (yes, we left her a tip) and ran out the door. We agreed that we would not eat in again but we will get the take out.The salad was cold and fresh and the dressing was really good. The pizza was cooked just right and I asked for light green pepper and I got 7 pieces. Bottom line is the food is good but I would advise carry out or delivery if at all possible.
<Date> 2012-04-20
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 465
<Author> Mike O.
<Author Location> Houston, TX
<Title> title
<Content> Three stars because of nostalgia. Monical's has always been around, as long as I can remember. This location is probably the one I am familiar with the most because I use to live a few block from here when I was a kid. Pizza is average, thin crust in little squares that is pretty soggy. The Family Pleaser is what we always get. Which just adds an iceburg lettuce salad and soft drinks to a pizza order. Nothing bad, but nothing great either.
<Date> 2012-12-21
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 466
<Author> Mark C.
<Author Location> Clarendon Hills, IL
<Title> title
