<Hotel Name> Cracker Barrel Old Country Store
<Hotel Address>
<Overall Rating> 3.5
<Avg. Price>
<URL>
<Image URL>

<Review ID> 3931
<Author> Sharon S.
<Author Location> Berwyn, IL
<Title> title
<Content> Gah! Wish u weren't so far away. We were down in Urbana for my brother's gradation and came to breakfast before the big event. I had never been to Cracker Barrel before but after this experience, I will definitely be back. The food was delicious. I loved the baked apples. The coffee cup was kept full.I love the idea of the little peg game on the table to play while you wait. The waitress was so sweet and offered me a cup of coffee to go. Super nice staff throughout.
<Date> 2014-10-04
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 3932
<Author> Maxine W.
<Author Location> Aurora, IL
<Title> title
<Content> Pam was our extremely attentive, and patient, waitress. Food was excellent, as always. Usually we avoid Sunday's but the turnaround was quick!
<Date> 2014-10-19
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 3933
<Author> Jojo F.
<Author Location> Arlington Heights, IL
<Title> title
<Content> I've reviewed another Cracker Barrel in the past, and this location lives up to the all-american constant that I've come to expect from Cracker Barrels.Its a tradition for my sister and I to have a meal at Cracker Barrel when I come to visit her, so we headed straight over there when I got off the train yesterday morning. I was pleasantly surprised to be seated without a wait- it was about 10:45 in the morning and the parking lot was PACKED (post-church crowd?). But we must have come in at the perfect time because there was one empty, clean table- and it was ours!Our server was very nice, our food came out quickly and tasted great. You know how sometimes when food comes out really fast it tastes old like they made it earlier and waited for someone to order it? This wasn't the case. It was all piping hot and fresh. The odds were ever in our favor.
<Date> 2014-03-24
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 3934
<Author> lisa N.
<Author Location> Key West, FL
<Title> title
