<Hotel Name> Boltini Lounge
<Hotel Address>
<Overall Rating> 4.0
<Avg. Price>
<URL>
<Image URL>

<Review ID> 3989
<Author> Ben B.
<Author Location> Urbana, IL
<Title> title
<Content> My girlfriends and I come in every other Tuesday night for Trivia Tuesday! (They do trivia every Tuesday at 7:00, and we all love Holly and Chris!) Great place to meet up with friends for drinks! It's very small and cozy. We don't usually order food because they serve free pizza for the night; however, we do order our fair share of drinks for the night :)They offer a good variety of mixed drinks, but their wine selection is pretty limited. Love this lounge!
<Date> 2014-10-22
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 3990
<Author> Hunter J.
<Author Location> Chicago, IL
<Title> title
<Content> A cool lounge with an enormous drink menu. The one on their website doesn't even scratch the surface.I had something called a lime ku-ade and it was solid, if unremarkable. I hit a home run with my second drink, a lemonade concoction that was equal parts boozy and smooth. I expected to find it on their website, but it's not there.Our server was nice and prompt and had several recommendations for our group.Wasn't a fan of the layout. It's just a long bar with a few booths. Our booth faced the door to the kitchen, so the dark atmosphere was frequently punctured by the bright light of the kitchen. That's a small drawback.If you're in this part of town, it's worth dropping in for a killer cocktail.
<Date> 2014-06-09
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 3991
<Author> Barbara B.
<Author Location> Champaign, IL
<Title> title
<Content> I really enjoy this place. It's low-key and upscale. Drinks are expensive but they're made on the strong side. The food is really go too. I've never had a dish I didn't enjoy. It's a great place to sit down and enjoy a cocktail and have a conversation. The crowd looks like 26 and up. I consistently have a positive experience here.
<Date> 2014-06-01
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 3992
<Author> Tim S.
<Author Location> Mahomet, IL
<Title> title
<Content> My drink, pumpkin spice latte martini, was awesome. Husband's wine had gone bad & the spinach dip was not tasty at all. Don't go by the menu on Yelp. Current menu is tiny & not worth it. If you want hard liquor, this is the place. Otherwise, there are plenty of places within walking distance to get GREAT wine & AWESOME food.
<Date> 2014-10-17
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 3993
<Author> Lisa B.
<Author Location> Champaign, IL
<Title> title
<Content> You are a prominent bar in downtown Champaign. Why are you serving lousy chips out of a bag and bad salsa out of a jar?
<Date> 2014-07-18
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 3994
<Author> Pete B.
<Author Location> Champaign, IL
<Title> title
<Content> Kind of a dark place to be. The building is long and skinny. When we walked in we were not greeted in a friendly manner actually we were not greeted at all. We noticed there were reserved signs on all the tables that had daylight on them so we were directed to the back where they have creepy crescent shaped booths.They have daily specials and the special was $5 cosmos so we all ordered one. It was really good and really strong! One is all you need. We also ordered the margherita pizza, artichoke dip & the fancy mac & cheese. The pizza was good, the dip was fabulous and the mac & cheese was gross. I do not know why they called it fancy mac & cheese. The noodles were too big and chewy and the cheese did not have any flavor. It was bland and boring and sticky. Nothing fancy about it all so that was misleading.The dip had some hotness to it and had good flavor and consistency. None of the food came out hot. The pizza cheese was luke warm at best so I think it was sitting in the kitchen waiting to be brought out for a while.Our waitress was really nice and very helpful with helping us select menu items.Would I go back? Yes, I would go back and try something different and hopefully we could sit somewhere towards the front and the light of day. This place is really dark.
<Date> 2012-09-20
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 3995
<Author> Pete K.
<Author Location> Chicago, IL
<Title> title
<Content> 4.5I went to Boltini for dinner twice, and the food was good! We ordered a ton of appetizers and they were all good. My two favorites were the artichoke dip and the ahi tuna wonton (but again, I like everything with ahi tuna). The sandwiches were also really good too. We also got all their desserts (they had like 3 to choose from), and I loved the creme brulees. Best of all, the price was surprisingly cheap!The drinks were mostly good. Their beer of the month was good and cheap at $3. Other than that, their drinks fall in the $6-9 range which is a little steep for a town like Champaign. However, they make their drinks really strong, so you kinda have to pace yourself through the drinks.Overall, I like this place a lot. Great ambient, great food, great drinks, reasonable price. It's quite a rarity in Champaign.4 stars if you want to go there for drinks5 stars if you want to go there for dinner (because it's a bargain for the quality of food you get, especially when you have a gift certificate from restaurant.com).
<Date> 2010-12-31
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 3996
<Author> Natasha A.
<Author Location> Chicago, IL
<Title> title
<Content> A group of us have been coming to Champaign for our work to do some concentrated training 1-2x/month so we wanted to start checking out the local, non-college scene. We checked out Boltini twice, each time deciding on Wed. since it's their half-price-drink night.The first try was a few weeks ago and relatively early in the night I guess (9pm). We all, especially me, really liked the place itself; a loungey, chill vibe. I'm not a beer guy so I was very pleased with their great drink selections AND all 1/2 price! I thought this was a sure winner. It was kinda slow, and the main reason we left that time after only one drink was that the demographics threw us off. After some shifting during the 20mins. or so, there ended up being 5 couples there: all same-sex, 4 of the 5 were guys. Being new to the area, we didn't know if we found ourselves in a gay bar. There is absolutely nothing wrong with that, but it's just not conducive to keeping single straight guys around.This past week we came back because I was assured that it was a place open to all, so I talked the others into trying it again. On this, our second attempt (and third; we ended up coming back later), we got there around 10pm. It was later than the last time so I expected a bit more of a crowd. I guess that's my only complaint about this place. We gave it more of a chance, sticking around for just under an hour. It was worthwhile, but just not getting as active as we hoped. It did seem to start to shift as we were heading out, but he others had decided to move on.We ended up back there an hour later. The scene was about the same as when we were leaving; still just on the brink of happenin'. We stayed for about 45min, and I easily could have spent the rest of the night there but the others wanted to go back to the clubby place we closed at on our previous night.When we go back next week I think I WILL be sticking around if the vibe is right letting the others move on. I really want to love this place cuz it has all the right attributes for me (almost). Here's to hoping my next review will be 5 stars!
<Date> 2013-10-14
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 3997
<Author> Anne W.
<Author Location> San Diego, CA
<Title> title
<Content> Jelly donut shots, ooooo! O_O Ah-mazing. Dips were delicious, we got the basil pesto and the tomato one. They have a huge selection of shots and other drinks (I'm a shots person, get the job done with as little pain and time involved ;-))The ambiance is nice, and if you have a group of 5 or more and can snag some couches/chairs in the back I can guarantee you'll be there a while. It's so comfy and cozy. A wonderful place to go with friends.
<Date> 2012-12-03
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 3998
<Author> Eva S.
<Author Location> Los Angeles, CA
<Title> title
<Content> The place looks posh.. but the people that work there and go there are a little weird. In the winter, the place is small so you might have to wait in line and stand when you get inside (because there aren't any tables or chairs available). Oh.. and sometimes the people are rude there.. but not often. So that's why they get four stars.I do think they serve the best martinis in town. I like the lemon drop and appletini.
<Date> 2007-06-20
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 3999
<Author> Chris M.
<Author Location> Skokie, IL
<Title> title
<Content> In the middle of February when the snow decides to attack us, my friend decides to go to Boltini for a birthday dinner. I didn't even know this place had a dinner menu since all their drinks have the spotlight, but it's not too bad, depending on what you get. For a cold night like this, a selection from their 'hot drinks' looks perfect to warm you up, and someone ordered a 'Peppermint Patty.' A bunch of others got their $4 specials of Razzmo's and Clementine Cosmo's. I just stuck with water.But back the the food. It is cheaper than most of their drinks! Pastas started at $6.50 and sandwiches were up to $10. The Liar's Club Sandwich caught my eye because of the raw ahi tuna, avacado, and sriracha aioli sauce. Everything was tucked inside of a soft sun-dried tomato bun cushioned with a bed of sprouts. They could have spiced the tuna a bit more, and added some more sriracha. I was searching for more flavor with each bite and before I knew it the sandwich was gone.It was easy to eat because the softness of the sandwich, but needed a stronger punch ... and maybe some crunch. My friend had to add hot pepper flakes to everything. I'd say get the pizza or pesto pasta if you want something that is guaranteed to be good. Their ahi tuna tacos and "grown up grilled cheese" looked interesting. They have something called the 'Brownie Tower' which is self-explained heaven and served with a shot of chocolate milk.The ambiance is alright, they have cool names for everything and an endless list of classy drinks. However it's funny I felt like the menu was trying to assure me that eating here made me "grown up." Hence the "grown up" grilled cheese or a "grown up" shot of chocolate milk. It's a creative twist to kiddish foods but thanks for the reminder. A word of advice, order the things that are listed the most on the menu. The 10 pages of drinks and 5 pages of cheese were no accident.
<Date> 2010-02-11
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 4000
<Author> Nick C.
<Author Location> San Francisco, CA
<Title> title
