<Hotel Name> Applebees
<Hotel Address>
<Overall Rating> 2.0
<Avg. Price>
<URL>
<Image URL>

<Review ID> 4158
<Author> Mark C.
<Author Location> Fort Lauderdale, FL
<Title> title
<Content> good food and good prompt  service 2 orders for ruben sandwich and 1 club sandwich.when in t5he mood, I shall return.
<Date> 2014-07-16
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 4159
<Author> Jonna N.
<Author Location> Urbana, IL
<Title> title
<Content> Yes. It's a chain restaurant and it's average. The service was fairly good and the cajun steak I ordered was definitely satisfactory.
<Date> 2014-08-03
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 4160
<Author> Adriane P.
<Author Location> Chicago, IL
<Title> title
<Content> After spending all of my 22 years of life watching the commercials on tv, I finally got around to going here. It wasn't half bad.My server was attentive, but I was never offered a refill. I'm not sure if they do that, but after traveling around Europe (and free refills not being a thing over there) I missed the free refills that America offers.I decided to try steak because there were so many choices of entrees with steak. I would go back just to try another steak entree.I got the Grilled Vidalia Onion Sirloin because it was one of the summer specials and I love grilled onions. The dish was the steak served with a onion on top and had a sweet and spicy Hawaiian BBQ sauce and served with steamed garlicky spinach and crispy smashed potatoes.The garlicky spinach was my favorite part. I never had spinach that flavorful. The steak was good too. The sauce definitely tasted good with the steak. I just wish it was bigger.Overall, I liked the food. I thought that the portions were small. I was still hungry after so my friend and I went to get food some other place. The food was cooked really well, but just the portion size disappointed me. It's a toss-up if I would go back or not.
<Date> 2014-05-21
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 4161
<Author> Lisa B.
<Author Location> Chicago, IL
<Title> title
<Content> Some person gave me a gift card so I went for a couple cocktails and I brought two family members for a weeknight dinner. The atmosphere is very cookie cutter, dated and full of LOUD families and spazz kids. The booths are big which I like (though it really bothered my aunt).The cocktails (I've tried 3) are all WAY too SWEET!!! Ugh! You know it's serious when I say avoid any mixed drink or cocktail at Applebee's and just stick with beer if you need an attitude adjustment (the wine list is like 4 total and mundane) or water.My guests were taken with their entrees. My aunt ordered the half portion of Grilled Shrimp 'N Spinach Salad: spinach, bacon, roasted red peppers, red onions, toasted almonds and hot bacon vinaigrette topped with grilled shrimp. She really liked the shrimp and found the salad refreshing. My only grandma ordered the Fiesta Lime Chicken, which she LOVES and always orders at Applebee's (according to her). It is grilled chicken in lime sauce, Mexican ranch sauce (?) mixed with melted cheeses blanketing the breast, tortilla strips, seasoned rice and pico de gallo. It was a hearty portion and she aced it except for the pico de gallo, which she thought was too hot and tried to eat with a spoon...maybe she thought it was mexican cole slaw?. I ordered the Bourbon Street Chicken & Shrimp: cajun-seasoned grilled chicken breast served on a skillet with blackened seasoned shrimp, garlic and thyme, with fried red potato bits, sauted onions and mushrooms. It was all very queer. None of it tasted CAJUN or hot or blackened. A lot of it tasted pre-fab and/or frozen, and what was seasoned were strange flavor profiles... but it was good. The chicken was juicy however OILY in the skillet.. I liked the garlic and thyme on it and shrimp; complimented well. I would ask for extra sauce next time. The potatoes were really crispy! I'm naughty. . . I dunked them in ranch on the side. The only things that were duds were the onions and mushrooms (i like both in general, just not stale, ill-prepared, greasy, and mushy like the ones served here).I would return and would order any chicken and/ or shrimp dish again. Plus, family likes it.
<Date> 2013-04-09
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 4162
<Author> Timothy D.
<Author Location> Champaign, IL
<Title> title
<Content> Went here on Saturday afternoon because it's never crowded and we never have to wait at Applebees. We ordered the 3 for $20.00 which is a choice of pre selected appetizers and entrees.  We chose the Queso dip, steak dinner and chicken penne dinner. The Queso was really good and so were the chips that came with it.However, we waited entirely too long for the entree to come out.. I was very hungry and that may be why it felt so long but it felt like forever. we were done with the appetizer for a long time before our meals came out. My husband loved his steak. I tried it and I have to admit it wasn't bad. My chicken penne pasta was awful. I think there may have been three strips of chicken in it and the rest was a serving bowl full of penne pasta that was dry. I ate as much of it that I could but when I was done it didn't look like I had even touched it.Way too long of a wait for some bland mac n cheese!!
<Date> 2010-10-21
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 4163
<Author> Heather J.
<Author Location> Rantoul, IL
<Title> title
<Content> There's been a lot of places I've been to that I've liked, A lot that I haven't liked, and one that I've hated that would be Apple bees Applebee's.
<Date> 2014-03-08
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 4164
<Author> Kyle W.
<Author Location> Champaign, IL
<Title> title
<Content> I wish I could review the food, but I never even got the chance! My Mom and I were shopping on N. Prospect and decided to stop in for lunch. We walked in and waited by the hostess stand. We waited and waited and waited. Several servers walked by and just looked at us. So, we decided that if they didn't want to seat us, we'd go somewhere else. As we turned to leave someone finally noticed us and we told them that we were going since nobody would acknowledge us. After an apology and a promise that they'd take great care of us, we were taken to a table. Once at the table we waited again! No waiter came by at all. They walked by our table but didn't stop. We gave up and just left. We went across the street and got Steak N Shake and got immediate attention.Very frustrating. I just wanted a light soup and salad for lunch. I never got the chance.
<Date> 2011-11-11
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 4165
<Author> Liza B.
<Author Location> West Portal, San Francisco, CA
<Title> title
