<Hotel Name> TGI Fridays
<Hotel Address>
<Overall Rating> 3.0
<Avg. Price>
<URL>
<Image URL>

<Review ID> 479
<Author> Matthew M.
<Author Location> Villa Grove, IL
<Title> title
<Content> Jack Daniels burger and fries... extra JD glaze? My mouth is watering!The staff is amazingand eclectic. .. and always friendlier than just about anywhere else in town. The constant happy birthday singing annoys me every time, and would usually lose a star, but the fact they have a big chief illiniwek mural on their wall saves that 5th star for me.
<Date> 2014-10-11
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 480
<Author> Sean F.
<Author Location> Fort Bragg, NC
<Title> title
<Content> This TGI Friday's is not the greatest. I sat at the bar, which almost wraps all the way around. This seems to be a common down fall of TGI Friday's. They have too big of a bar area and never enough servers /bartenders. You can go neglected at the bar for quite a while. The food is mediocre. I was hungry after a long day of travel, so I ordered the Jack Daniel's steak with lobster tail. The steak was cooked well and tasted ok, but would not recommend the Jack Daniel's sirloin. Is only cooked with that BBQ sauce and some on the side. It's not worth the extra price. Get the regular sirloin and maybe ask if you can get that BBQ sauce on the side. Also, do not get the lobster tail. It was ridiculously small. It had two bites of meat in it and they didn't even serve with melted butter. NOT WORTH IT. The macaroni and cheese was pretty good and works for a side. The "fresh" broccoli was fresh out of the refrigerator. It was still cold, not cooked well.
<Date> 2014-08-07
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 481
<Author> Florence T.
<Author Location> Urbana, IL
<Title> title
<Content> My memories of Fridays center around suspenders and buttons, and forgettable food. I stopped going to Fridays years ago for lack of interest, boring food, and excessive prices. I've not wanted to party like it's 1989 for some time. Well, I gave Fridays another shot, and I've not been disappointed. I went earlier this month. And it was so good that I returned a second time this month. I have actually been impressed twice. The food was really great the first time. The service was really great this time. The manager immediately took care of a minor glitch on our latest visit. I have to hand it to them. They really have moved past the era of the red and white stripes, ugly suspenders, and over the top buttons Their menu is better than it has ever been. All six people in my household want to go here, and that's saying something. I might even make it a threepeat this month. Whilest this is not "smack your granny upside the head and ask her why she can't cook like that" kind of delectable fare, this place is pretty damn good. Good stuff, Maynard.
<Date> 2014-07-12
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 482
<Author> Aaron P.
<Author Location> Georgetown, IL
<Title> title
<Content> I'm on a very restricted diet so it's difficult to eat out. Our waitress Alicia P. went above and beyond to make sure I left with food in my belly, and a smile on my face. She took a crazy amount of time working with me to create a delicious meal that was Ideal Protein Plan friendly. So remember, just because something isn't on the menu, doesn't mean they won't create it for you! (chicken breasts, garlic shrimp, and spinach with mushrooms on the side) Amazing!
<Date> 2014-09-28
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 483
<Author> Brent F.
<Author Location> Champaign, IL
<Title> title
<Content> The TGI Friday's I'm used to going to is nothing special. But this one is great!First the place looks really nice. It doesn't look like a tacky family restaurant. It's has a very fresh, sports bar atmosphere. Their beer and drink selection is excellent, the server was great, and the food is delicious. My burger was great and I tried some of my friend's food. I was jealous! His was even more delicious. The only problem I had with this restaurant is their desert selection was really limited.
<Date> 2014-01-07
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 484
<Author> Danny B.
<Author Location> Hannibal, MO
<Title> title
<Content> I travel to Champaign nearly every week and will often eat here. The food is good and the waitstaff are very helpful and friendly.
<Date> 2014-07-09
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 485
<Author> Jiexin L.
<Author Location> Champaign, IL
<Title> title
<Content> Me and a friend went here to get the Jack Daniels burger. The host was very quick and very nice. After being seated we looked over our menu and sat there and waited and waited and waited. After 10 mins of being ignored not one single staff member stopped and talked to us. What a shame and an embarrassment to have customers walk out.
<Date> 2014-05-23
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 486
<Author> Patricia N.
<Author Location> Urbana, IL
<Title> title
<Content> Good food! And I think the service is goodI strongly recommend sweet potato side, that's great! And angus steak is tender and delicious.
<Date> 2013-10-12
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 487
<Author> Cameron R.
<Author Location> Indianapolis, IN
<Title> title
<Content> This would've been a five had a little cockroach not ran across the table after we paid the bill. Service was great!- Ultimate SangriaYeah, super good! - Warm Pretzels with Craft Beer-Cheese Dipping SauceOne of our new favorite appetizers! The pretzels were obviously deep-fried. But that's ok, they were super hot, crispy on the outside, and pillowy inside. - Jack Daniel's Burger w/ Fries- Jack Daniel's Chicken Sandwich w/ ChipsIt was a burger kind of Friday night, so that's what we both had. No complaints
<Date> 2013-07-02
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 488
<Author> Crystal B.
<Author Location> Champaign, IL
<Title> title
<Content> Tgi Fridays is one of my favorite places to eat and I was very excited when I found out is was coming back to champaign. With that said our visit there was poor, and it was clear the wait staff was poorly trained and managed from the hostess to the kitchen. I'm giving them a 1 star in hopes the owner will take these reviews into consideration and fix the problems since I want this place to succeed. I will update my review when and if they turn it around.
<Date> 2013-01-02
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 489
<Author> Les P.
<Author Location> Urbana, IL
<Title> title
