<Hotel Name> Ruby Tuesday
<Hotel Address>
<Overall Rating> 2.5
<Avg. Price>
<URL>
<Image URL>

<Review ID> 4373
<Author> Brandon P.
<Author Location> Terre Haute, IN
<Title> title
<Content> We had Hickory mountain chicken and the big dipper sampler to share. The entrees were average and the portion size was good. We were there at the busy lunch hour and couldn't have asked for better service. The real test of a restaurant's service is what happens when a mistake is made. We had a minor mistake on our order and the staff corrected it immediately. I had heard from a friend they had a spectacular salad bar. The salad bar food was all fresh, but I can't say that it was anything special. I felt it was a little pricy for a business luncheon. I don't mean to sound negative, but it was a typical chain restaurant.
<Date> 2014-06-24
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 4374
<Author> Ryan T.
<Author Location> Villa Grove, IL
<Title> title
<Content> To date this restaurant still holds the title for the worst dining experience ive ever had. Very slow and disrespectful waitresses who like to argue with you when you have to send back your "medium well" burger because it's still red and bleeding. It took us over an hour to get our food on a slow night ... turns out its because our first waitress left for the day and didnt hand off her ticket to someone else.I urge you to reconsider before spending your money in this place.
<Date> 2014-10-04
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 4375
<Author> John B.
<Author Location> Champaign, IL
<Title> title
<Content> This place is in serious need of new Management. The staff is always super nice and try to be accommodating. I always feel bad for them. The problem is they have been out of products both times we have ate here. The firsts time they were out of Ribeye's and biscuits of all things. It also took an hour and a half for service. They said due to two people walking out that night.The second time we ate here they where out of biscuits again. Also cheese, and croutons on the salad bar. Aside from that the food was pretty good.
<Date> 2014-03-23
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 4376
<Author> Jonathan S.
<Author Location> Cissna Park, IL
<Title> title
<Content> SERVICE - too many excuses for issues, drinks arrived during our first trip to the salad bar (order them long before we order entree) 2 of us were just eating salad bar and we had to ask twice to get rolls, they were almost done with 1st plate before they arrived.DRINKS - Specialty drink (summer ??) glass couldn't have been smaller, others were fine.ENTREE - Fish trio was good and good portion, New Orleans plate was also good but portion was rather small.  VALUE - $90 for 2 entrees, 2 salad bars, 1 round of drinks & tip is a little pricy for meOVERALL - 2nd visit to a Ruby Tuesday (always give a 2nd chance) very disappointed and it will be a long while before I try it again.
<Date> 2012-07-25
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 4377
<Author> Jenna M.
<Author Location> Chicago, IL
<Title> title
<Content> Staff was friendly. Food was ok. Environment was was clean and open. Burger is $9-$12, other dishes start out around $12 and go up from there. I would give it a 2.5 star rating. Was there on Tuesday summer night around 8:30pm and the place was fairly empty. No inclination to come back. I've been to other Ruby Tuesdays and for some reason found them better.
<Date> 2014-06-24
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 4378
<Author> bayrox K.
<Author Location> Chapel Hill, NC
<Title> title
<Content> Clean, convenient, fast, decent food, big selection. Burgers are generally undercooked and leave your food swimming in a pool of juice, but they are tasty. The Salad Bar has a ton of fresh vegetables, but not much else (meat, bread).If you do go, try and get Ronique as your waitress. This cute high school chick was the best part of our meal - always smiling like she was on America's Next Top Model, and everything was (both) thumbs up or "great, great." This may be annoying for anyone else to do, but she pulled it off. Big tip.Minus one star for nothing memorable.
<Date> 2007-07-22
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 4379
<Author> Tyler N.
<Author Location> Champaign, IL
<Title> title
