<Hotel Name> Outback Steakhouse
<Hotel Address>
<Overall Rating> 2.5
<Avg. Price>
<URL>
<Image URL>

<Review ID> 4411
<Author> Elizabeth M.
<Author Location> Champaign, IL
<Title> title
<Content> We went last night, 7/7/12. We don't usually frequent chain restaurants, but we had a gift certificate. We went early to beat the rush and were immediately sat. The hostess was friendly and out waitress greeted us warmly. The service wasn't bad, honestly. For an appetizer we ordered the Awesome Blossom, the big onion. It was awful. Very disappointing. I had been years ago and I remember them being awesome. I was bummed. It seemed like the onion still had skin on it and many of the onion petals were only thin skin, not bites of onion. It was really bad. I barely ate any. Luckily, the salads followed quickly and they were good. I got the small sirloin with sweet potato fries. My husband got a bigger sirloin and a baked potato. The steaks were cooked perfectly, mine was a perfect medium and my husband's was a perfect med. rare. However...the steaks had no flavor. I had to ask for A-1 and I don't even really like the stuff. Another disappointment. The potatoes were fine though. I had some blackberry cocktail and that was super awesome. Sweet cocktails aren't usually my thing, but it looked awesome on the menu and tasted just as great. My husband asked for a draft beer (forget which one exactly) and he got a bottle. He wasn't thrilled about that, but he was happy about the cold mug that came with it. Overall, the food isn't enough to bring me back, but at least the service was good.
<Date> 2012-07-08
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 4412
<Author> Dee W.
<Author Location> Champaign, IL
<Title> title
<Content> Well, my boyfriend and his two teenage children went to Outback last weekend, at about 7:30 on a Saturday. We had a brief wait and we were then seated but received no menus. The waitress (who informed us it was only her second week and she was really busy) then came to take our drink order without menus. It took her THREE trips to bring 4 drinks.. and forgot straws.. finally I had to ask a hotess for a darn straw after waiting 15 minutes. Finally, she came and took our order.. we had an app and ordered salads and soup. The app came about 20 minutes later.. we deperately needed refills and plates! NOTHING CAME! Again, we asked a hostess. The manger at this point was walking around.. talking to people and then proceeded to talk to the FOUR hostess standing around. Then, a half hour to 45 minutes later.. the soup and salads arive. STONE COLD SOUP and no dressing on the salad- we ate it anyway. Then the entrees come out and she informs us she messed up my order, didnt tell me but chose to subsitute it for something I did NOT order without bringing it to my attention first. Well, the subsituted food was cold.. VERY cold. She incorrectly wrote down the tempatures of mine and my boyfriends steak and didnt even break us steak sauce after we asked TWICE- again, we went to a hostess.  About this time, we were 90 minutes into the meal and have gotten refills once (via the hostess) and the food was not only terrible and incorrect but cold. We left around 9:30.. no manager ever came to talk to us and NOBODY helped this girl on his first week.. it wasnt even that busy but she was sinking and we were just left in the corner to fend for ourselves. My boyfriend NEVER complains and he was visably upset and we couldnt get out of there fast enough. We will probably NEVER go into the resturant again. Its no wonder its never very busy and doesnt get recent or decent reviews- its hidden away at the end of North Prospect for a reason- nobody wants to go there and get bad service and even worse food.
<Date> 2014-07-18
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 4413
<Author> Cameron R.
<Author Location> Evanston, IL
<Title> title
<Content> Since our little sisters had never eaten at Outback and I have some fond memories of Outback in Seattle, LA, and Vegas, we took the two little ones here.However, the steaks were mediocre at best and dessert was probably its only saving grace. At least, the Chocolate Thunder from Down Under was welll worth it. It was this still warm chocolate brownie (maybe microwaved to be warm?) with a HUGE scoop of vanilla ice cream on top (see picture).
<Date> 2008-06-04
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 4414
<Author> Katherine C.
<Author Location> Champaign, IL
<Title> title
