<Hotel Name> Esquire Lounge Inc
<Hotel Address>
<Overall Rating> 4.0
<Avg. Price>
<URL>
<Image URL>

<Review ID> 565
<Author> Sherry Y.
<Author Location> Urbana, IL
<Title> title
<Content> Gotta admit that the name of the place belies what's actually inside. When I hear the word "Esquire," I think formal and gentlemen. What I got was scattered peanut shells all over the floor and a normal bar scene. Despite this, this place features some cool billiards. It's a great place to watch sports games and the prices are quite reasonable for the amount of food they serve. They have a condiment bar so you can put as much tomatoes, lettuce, pickles, and/or onions on your food. My burger and fried mushroom meal came out to be $8.49. And if you're feeling like a hipster, they have PBR pints for a dollar on Sunday.
<Date> 2014-09-19
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 566
<Author> Gail T.
<Author Location> Chicago, IL
<Title> title
<Content> There's something quite nice about this place. I've heard they're quite cheap with the drinks here, but I'm more a fan of the food. Every pizza I've had here has been really delicious. The ambiance is worth the visit as well, a traditional joint with pool tables on the side. But the bathrooms...avoid the bathrooms.
<Date> 2014-04-23
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 567
<Author> Preston B.
<Author Location> Champaign, IL
<Title> title
<Content> Great prices on drinks and food. The thin crust pizza is delicious. Good selection of draft beers.
<Date> 2014-07-29
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 568
<Author> Kailey O.
<Author Location> Towanda, IL
<Title> title
<Content> Kind of underwhelming place overall. Average beer selection and limited food selection (their pizza is probably the best thing I've had). Feels like a 90's bar that hasn't done a great job of staying with the times.That being said, there is a nice energy throughout. Staff is great and service is prompt and friendly. The News Gazette has an Illini-based sports talk radio show there on mondays that is always a good time.
<Date> 2014-04-24
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 569
<Author> Teej T.
<Author Location> Campbell, CA
<Title> title
<Content> Coming from California, these are the cheapest drinks I've ever encountered! We called ahead of time to ask them to play the niners game, even though the bears / packers were the favored game of the day (and time). They had a TV set up all ready with the niners game when I got there.There are peanut shells all over the ground, which I find a little tacky and dangerous. The Pizza was pretty decent - thin crust. We ordered the Hawaiian although we substituted BBQ sauce for regular pizza tomato sauce.There are fun pool tables and other arcade games. A jukebox for your favorite tunes can be found near the bar, i think.This place seems to be a staple of downtown champaign.
<Date> 2013-12-30
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 570
<Author> Deanna C.
<Author Location> Urbana, IL
<Title> title
<Content> Cheap beer, dive bar, great company, and holy crap--did everyone just eat a hojillion peanuts and dump their shells on the floor? Really? What the hell, it's a great dive bar. I cant' even hate on it.The booths are big and comfy, the setting is as nonpretentious as it gets, and the peeps are chill as hell--and most likely you're not gonna run into many undergrads ;)
<Date> 2008-02-17
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 571
<Author> Ashley R.
<Author Location> Chicago, IL
<Title> title
<Content> I came back here with a friend on a random Thursday night as we both felt it was too early to call it a night, but weren't looking for a venue with dance music blaring in our ears nor were we interested in having to shove through the crowds to get a drink.At Esquire, we managed to secure a pool table (only $6 an hour!!), got cheap drinks, and just had a relaxing low-key night. Plus, I got to work on honing my pool-skills (or lack thereof =P).
<Date> 2009-11-10
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 572
<Author> James B.
<Author Location> Chicago, IL
<Title> title
<Content> Holy hell. What have I been doing with my life? My grad program loves to party here, but for whatever reason I had never come. I am regretting all the times I went to campus bars. I'm not a grown up by any stretch of the imagination, but this place had no undergrads in sight. Plus, the deals! 18 Asian dumplings for around 5-6 dollars? Delicious black bean burger for about 5 bucks? Gin and tonic (my standard drink) for less than 4 bucks? What is not to love?Add in the great service, the nice sized televisions for sporting events, pool tables that I am dying to try, and quiet music so we can actually talk to each other and hear ourselves think, and I'm still kicking myself for only checking this place out now. Plus free peanuts! I LOVE FREE PEANUTS. Now, granted, this was a rather quiet Thursday, so we'll have to see what happens if/when it gets busy. But so far, all systems go.
<Date> 2010-01-23
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 573
<Author> Vikram A.
<Author Location> Chicago, IL
<Title> title
<Content> I really don't understand how this place can be held in such high regard. There isn't a particularly good drink selection, the food is terribly mediocre (the burgers are just terrible), and the bar itself has not a remarkable characteristic in sight.While all that is bad enough, I've always felt that the employees here are tremendously standoffish with anyone under 40, and this is the only place I've been to downtown where they'll chase your party down after you walk in the door. With so many fantastic places in downtown Champaign, the only reason this one hasn't gone out of business has to be the location.
<Date> 2011-05-17
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 574
<Author> Paul D.
<Author Location> San Francisco, CA
<Title> title
<Content> What's with people all wearing flip flops all the time? I came here after dinner with a friend to shoot pool. But, as I was standing around the pool area, I realized that at all the tables, I was the only one not wearing flip flops.Ok, that aside, they have strongbow cider by the bottle and the pool tables are in decent (not excellent) shape.
<Date> 2007-09-09
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 575
<Author> Travis M.
<Author Location> Houston, TX
<Title> title
<Content> This will be a review down memory lane. I grew up in this bar, much like Jackie H's review. One of the bartenders was my little league baseball coach, then I played on the bars soft ball team. Even though I have not lived in Chamaign for about 10 years, I can still find people I know, and bartenders that remember me.When I was little I would order kiddy cocktails from the bar, then get change to play on the only pinball machine. Then stomp on all the peanut shells on the floor. I have seen expansion many times. Originally from one bar and a few booths, to a wrap around bar, then finally to the pool hall and extra bar area that you see now. I have met U of I basketball coaches here, there are pictures of former Cubs players kissing my Mom (wait, what). My parents originally met here. It is safe to say my family has a mullti generational history here.Anyway, beyond the nostalgia, it is one of the best pubs to visit in the downtown area. Just a great place to relax and have a few drinks. Along with the evolution of the bar, so has the menu. Now there is a mix of pub grub like burgers, fish sandwiches, etc. Which I don't think are that great. Though the various pizzas are very good. As are the wings, which I am not typically a fan of. Though these are baked, not fried and battered like most. The Asian Dumplings are great as well. The service can be hit or miss. Depending on the time you come, and where you order. Bar service is pretty good, but the waitresses can be a bit confused when trying to find you after you place the order. Though they work hard, and always take care of anything that might be wrong.Drinks are pretty standard. There are a handful of good micros on tap. Usually something from Two Brothers or Dark Horse as the main micros available on tap. A bit more extensive selection in bottles. The rest is typical drinks for a neighborhood bar.Overall, not perfect. Though the goods far out way the bad. An institution in the downtown Champaign area, and a place I will always love.
<Date> 2012-11-30
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 576
<Author> Mona H.
<Author Location> Scottsdale, AZ
<Title> title
<Content> Best bar in Champaign (IMHO) and the closest thing to "Cheers" in Champaign. Decent beer selection. Peanuts in the shell, eat them and throw the shells on the floor. 4 pool tables.Relaxed and laid back. Used to be a townie bar, then they expanded it and all types hang out there. Just your basic, no frills, hang out with your buddies, BAR.
<Date> 2008-07-11
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 577
<Author> Tim J.
<Author Location> San Jose, CA
<Title> title
<Content> You know you're going to have an interesting night when some random dude swipes some of your fries while you're playing pool. ha! Needless to say the first time I went to Esquire there was a bachelor party and it was hilarious to watch the crazy activities. The selection of booze is fine, there is even a batch of peanuts to grab and munch on while you're hanging out. I tried their fried broccoli recently, it's soooo addicting. The place can be a tad messy, obviously because of the peanuts, and it definitely has a mix of townies and college kids, but it's a pretty fun place to go to for a hang out with friends.
<Date> 2011-07-11
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 578
<Author> Erin Y.
<Author Location> Mundelein, IL
<Title> title
