<Hotel Name> Potbelly Sandwich Shop
<Hotel Address>
<Overall Rating> 4.0
<Avg. Price>
<URL>
<Image URL>

<Review ID> 6131
<Author> Dee R.
<Author Location> Champaign, IL
<Title> title
<Content> Is it a chain? Yes. Are there better options on Green Street? Maybe, but Potbelly is quick, delicious and cheap. I always get the regular roast beef on wheat, and the sandwich is big (probably about 8 inches) and filling. Plus, it's only $5 (I think $5.03 now) but it's hard to beat for the price. The place tends to get crowded around lunch (the lines can be Chipolte long occasionally) so I normally go in at either 11 when they open or 1:30 after the lunch rush. And the sandwiches are so good I plan my lunch schedule around those times.
<Date> 2013-12-26
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 6132
<Author> Thomas L.
<Author Location> Gibson City, IL
<Title> title
<Content> Sandwich was great and the staff was okay -- typical Potbelly overly casual approach -- I'm not a Potbelly regular and I feel like that annoys them in a way because I'm not on point when ordering. Place was dirty and not just from their dinner rush. I'm surprised that Potbelly's doesn't have a better hold on the cleanliness honestly as the last Potbelly I was in (Bloomington, IL) had the same story -- good food, blah staff, dirty restaurant.
<Date> 2014-09-07
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 6133
<Author> Mark C.
<Author Location> Urbana, IL
<Title> title
<Content> Potbelly Sandwiches might be the best sandwich on/near campus, even though it's a chain. (Silver Mine comes a close second on my list)The staff is always friendly and your orders are prepared in a speedy manner. They often speed up the process by having you pay while your sandwich is going through the oven. The extra speed is appreciated.When it comes to soda their machine distributes both Pepsi and Coke, something I don't recall seeing in too many places.Their chocolate chip cookies are too die for.
<Date> 2014-05-30
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 6134
<Author> Eric Z.
<Author Location> Urbana, IL
<Title> title
<Content> So this place is somewhat similar to Quiznos in a sense that you order a sub and then it gets toasted. The main difference between Quiznos and here is that you actually get to choose what extra toppings you want on it. The toppings include: mayo, honey mustard, hot peppers, lettuce, onion, tomato, pickle, oil, and Italian seasoning. I wish it said how big these subs are... I'm thinking they're either 7" or 8." There's originals, bigs (30% more meat), and skinnys (thin cut breads) type of subs. I got an original A Wreck (salami, roast beef, turkey, ham, and swiss cheese) on multigrain bread. It cost $5 and it was pretty good! I also think it's interesting that they have some random guy playing a guitar and singing as their background music.
<Date> 2013-09-13
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 6135
<Author> Kelsey K.
<Author Location> Champaign, IL
<Title> title
<Content> I've always gotten good food here. The bread, the filling, and the toppings are all top notch. The service is good too. Sure, it costs more than Subway, but it also tastes a hell of a lot better. The tuna salad is great here, which is something I would be afraid to try at aforementioned Subway.
<Date> 2014-08-02
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 6136
<Author> DJ J.
<Author Location> Lombard, IL
<Title> title
<Content> I have had consistently good experiences with every time I have come in to Potbelly's on green. The staff is always friendly and smiling, the dining area is clean, and my sandwich has always been out if this world. I am a frequent buyer of the Mediterranean veggie on wheat bread, and I always load it up with extra toppings and jalapeo peppers. The ingredients are fresh and the sandwich is filling. Definitely have this place on your radar for subs!
<Date> 2014-04-25
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 6137
<Author> Uttaresh M.
<Author Location> Waco, TX
<Title> title
<Content> Subway's too cliche (look at me, sounding like a hipster :/) and I'm protesting Jimmy John's because of the owner's rather egregious practices against animals and (allegedly) women (again, hipster)-- and who the heck thinks it's okay to charge 3.25 for a piece of bread and provo cheese, WTF? So hooray for Potbelly's! The sandwiches are delicious similar to Quiznos and Subway. The sandwich artists are pretty rad and know how to toss their sandwiches right! The chips are gross, though. Very bland and dry, blechh! Overall, a great change of pace to the other shops that are around town.
<Date> 2012-07-17
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 6138
<Author> Heather T.
<Author Location> Fort Lauderdale, FL
<Title> title
<Content> I love this place! The sandwiches are great, some of the best on Green St. and the service is pretty fast, too.
<Date> 2014-03-24
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 6139
<Author> Mrs. And Mr. G.
<Author Location> Kenosha, WI
<Title> title
<Content> I don't even care if Potbelly is a chain. I'm still going to review it.The perfect sandwich: The Vegetarian, on wheat, with everything except oil. Toasted. Seriously, people: What's not to love about mushrooms, melted cheese, and hot peppers on a sandwich whose bread is toasted?
<Date> 2009-09-28
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 6140
<Author> Scott G.
<Author Location> West Bloomfield Township, MI
<Title> title
<Content> tasty
<Date> 2012-04-27
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 6141
<Author> Ted C.
<Author Location> Long Beach, CA
<Title> title
<Content> Very good, live music too. Wish this place existed when I was in grad school... Welcomed addition.
<Date> 2011-10-07
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 6142
<Author> Mohd I.
<Author Location> Astoria, Queens, NY
<Title> title
<Content> I needed one more Potbelly's fix before I moved back down south. Thanks to Yelp it wasn't a long hop off the highway before I ended up here. I ordered the Sicilian and it was still tasty and delicious. I don't know how long this Potbelly's has been opened but it was a little disorganized than I'm used to for a Potbelly's. There were three staff members crowded around something, at first, I thought they were just bsing but it looked like they had trouble with something before I got someone's attention.
<Date> 2012-12-09
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 6143
<Author> David S.
<Author Location> Chicago, IL
<Title> title
<Content> Big tuna on wheat. That is all you need to know. Love it!
<Date> 2013-07-05
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 6144
<Author> Liza B.
<Author Location> San Diego, CA
<Title> title
<Content> I normally wouldn't bother reviewing a chain restaurant, but Potbelly's is actually one of the few chain restaurants where I really enjoy eating and keep going back. They serves mainly sandwiches, which are pretty similar to what you would at Quizno's, albeit quite tastier and also quite cheaper ($4 at this location for a sandwich). The sandwiches come on delicious bread and are toasted: just great! They also have salads and soups, and a good selection of fountain drinks... (IBC root beer, yay!). And to boot, the place itself is nice enough that I don't mind hanging out there for a while. Really too bad we don't have Potbelly's on the East coast.
<Date> 2007-12-11
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 6145
<Author> Sophie B.
<Author Location> Chicago, IL
<Title> title
<Content> This Potbelly's in Champaign is a great place to go get a decent, quick meal because Potbelly's known for their good sandwiches among other things. This place also serves the most random, but a great variety of drinks to choose from. My friend gets the Stewart grape soda and says it's great. This place has good customer services and their milkshakes are omg orgasmic lol get the Oreo shake. Woohoo Potbelly's!
<Date> 2010-02-27
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 6146
<Author> Alice M.
<Author Location> Champaign, IL
<Title> title
<Content> I think Potbelly is delicious. I'm not big on hot food usually, it's just a thing I have, but I LOVE their sandwiches and soups. Their prices are very fair and service is always very good. I've gone here the most because I live here, but I've also stopped by one in Chicago, and had the same opinion at that location. As a chain in general they do well across the board.
<Date> 2009-06-15
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 6147
<Author> Reza F.
<Author Location> Oakland, CA
<Title> title
<Content> My favorite roast beef sandwich of all time... mmm, I wish there were Potbelly's in California!!! Toasted just the right way and has soo many great toppings, in particular the hot peppers and their mustard set them apart from other places. Used to be one of the only places I could find Orangina in Illinois, so a plus for that too!
<Date> 2008-08-05
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 6148
<Author> Rachel K.
<Author Location> Urbana, IL
<Title> title
<Content> The absolute best Italian sandwich I've ever had anywhere, especially when on wheat bread. Seriously, order the Italian, it's so good I rarely try anything else!And it's dirt cheap, $4 a "normal" sub.
<Date> 2010-03-30
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 6149
<Author> Siddhartha G.
<Author Location> Palo Alto, CA
<Title> title
<Content> A step above both Quizno's and Subway, Potbelly Sandwich Works provided me a very delicious Grilled Chicken and Cheddar Sandwich for lunch recently! I ordered it on a regular bread (which was plenty!) and chose to have everything added (e.g., lettuce, tomatoes, etc.). No dressing though! Paired it with a glass of water, and it turned out to be an excellent lunch! Next time, I look forward to trying a sandwich on the Skinny bread, which apparently has a fewer amount of calories compared to the Regular Bread.
<Date> 2011-08-18
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 6150
<Author> Felicia M.
<Author Location> San Jose, CA
<Title> title
