<Hotel Name> Fat Sandwich Company
<Hotel Address>
<Overall Rating> 3.5
<Avg. Price>
<URL>
<Image URL>

<Review ID> 6164
<Author> Daniel N.
<Author Location> Bloomington, IL
<Title> title
<Content> This place is awesome. If you want a huge over the top sandwich then definitely give this place a shot. The guy working was very cool and helpful. Since it was our first time eating here he told us some of the more popular sandwiches and the current specials they had that could save us a few bucks. Also they had old school pinball machines which I really love. Check this place out! You get a ton of food for a reasonable price.
<Date> 2014-06-16
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 6165
<Author> Mark C.
<Author Location> Chicago, IL
<Title> title
<Content> FOOD: 1 star - I would have rated the food 3 stars if hadn't been for the disgusting pubic looking hair I found on my food. I got the fat frat and it didn't have any cheese steak meat as advertised. I'm all for full flavored (aka fat & salt) food but the hair and meat aside, it just wasn't all that good. SERVICE: 3 stars - Friendly service. It's an order at the counter and pick your food up at the counter kinda place. ENVIRONMENT: 2 stars - The decor and ambience could use some work.
<Date> 2014-09-23
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 6166
<Author> Stephen C.
<Author Location> Urbana, IL
<Title> title
<Content> If you want some obese and delicious sandwiches, then this is the place to go. First of all, I feel like their creative ideas for sandwiches stems from Epic Meal Time (youtube.com/watch?v=m9FR). They add fries to all their fat sandwiches. There isn't much space to eat inside. I know that they're trying to go with the whole "divey" feel, but divey doesn't necessarily have to mean dirty. The least they could do is wipe down the tables after they're used. They blast really loud rock music which makes it quite difficult to have a conversation with your mates. it was interesting seeing a group of kids eating here considering that they have sandwiches called Fat Sororistute, Fat Motherclucker, and Fat Milf. I felt the best part of my fat sandwich was the mini corn dogs. Also, it's open at 3:00am which is great if you're having a hankering for munchies after some late night studying. Mmhm.
<Date> 2014-09-19
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 6167
<Author> Ken G.
<Author Location> West Lafayette, IN
<Title> title
