<Hotel Name> Escobars
<Hotel Address>
<Overall Rating> 4.0
<Avg. Price>
<URL>
<Image URL>

<Review ID> 6669
<Author> Richard W.
<Author Location> Cook, IL
<Title> title
<Content> My wife and I stopped here on our way back to Chicago. The food was all very good and reasonably priced! Everything tasted freshly prepared and full of flavor. They also have outdoor seating which is a huge plus. I'd highly recommend this place for a casual get-together or a date night.
<Date> 2014-09-30
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 6670
<Author> Matthew G.
<Author Location> Nashville, TN
<Title> title
<Content> The meal started with the coconut crusted shrimp and orange jalapeno dipping sauce. The shrimp was well prepared but the sauce was somewhat bland and oily - very oily. For the entree, I had the chicken mole. The waiter described the mole precisely which was excellent since it was the sole reason for choosing it. However, the sauce was poured over a very small half chicken with skin and bones resulting in little meat and lots of picking through the skin and bones to find said meat. The fresh squeezed limeade could have used more lime juice.The restaurant itself is comfortable and inviting. Service was excellent.
<Date> 2014-09-19
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 6671
<Author> T P.
<Author Location> Chicago, IL
<Title> title
<Content> Consistently, I have always had very good food here. Recently, we ate at the bar. Hopefully, the owner or management will read this... THE LIGHTING IS HORRIBLE!I've been in the hospitality business for over 35 years and I am a major "Foody". Three things that can spoil my dining experience is bad food, bad service, and bad atmosphere/lighting. At Escobar, the food and service is good and the atmosphere in the dining room is decent. But the bar... I couldn't wait to leave. I experienced the very same thing at the sister restaurant Milos where the entire restaurant has horrible lighting. The food and service was wonderful, but because of the atmosphere/lighting, I never wanted to return.
<Date> 2014-10-13
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 6672
<Author> Sherwin C.
<Author Location> Valide-i Atik, Istanbul, Turkey
<Title> title
<Content> Seriously, what's so fancy about this place when the food and the atmosphere doesn't reflect anything close to fine-dining. I have eaten million times in fine-dining places from L.A. to Europe and this is DEFINITELY NOT the place to experience delicious fine dining. However the prices and portions does fit to the fine-dining definition unlike the taste, service and atmosphere.
<Date> 2014-09-03
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 6673
<Author> Jessica Y.
<Author Location> Palatine, IL
<Title> title
<Content> Good food -- a bit pricey for the portion sizes but all prepared well. Meat dishes like the Hanger Steak Asada and osso bucco contained tasty prepared meat that was very tender to the fork and deliciously prepared vegetables and potato on the side. The seafood dishes like the sauteed shrimp and scallops and seafood paella also contained nice large juicy pieces of seafood, although only a few pieces. The rice on the paella as surprisingly flavorful although a little wet. The crema catalana I tried was also prepared very nicely with a crunchy caramelized sugar top over tasty custard that wasn't too thick and tempered with just the right amount of citrus. Overall, the food texture, temperature, and flavor was great -- however the small portion sizes for the price make me hesitant to award the final star.
<Date> 2014-05-30
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 6674
<Author> Emily H.
<Author Location> Buffalo Grove, IL
<Title> title
<Content> So torn...Food + Dcor = 5Service = 1Attitude = 1Dcor was quaint & created a warm/relaxing atmosphere. Food was delicious & consisted of many local ingredients. Coffee (also local) is memorable. I ordered the Guatemalan Torta: eggs, ham, black bean spread, and Monterey Jack cheese on Cuban Bread $9 and my brother had the Guatemalan breakfast: Two fried eggs with black bean sauce, sour cream, fried plantains and tortillas $9. Portions were large, fresh, and appetizing - the torta bread was soft and chewy = awesome; the other ingredients worked well together (ex. saltiness of the cheese + sweetness of the ham). Bonus: I was able to have half of it as leftover lunch today which tasted just as good and wished I had a cup of their coffee to accompany it. The Guatemalan breakfast is a version of the torta deconstructed and my brother's favorite part was the plantains.Operations/management aspect was a mess & unwelcoming. There was a sign that stated "wait to be seated" but that only works if you actually have someone seating people. After waiting for what seemed like an eternity a server appeared moving at snail pace. Coffee came in a cup the size of an airplane coffee cup because they ran out of regular mugs. No one stopped by after food came to the table to check how our food was or refill coffee. I was finally able to locate a server by the time I was close to being finished for a coffee refill, box, & check. Management was unprepared/understaffed to say the least but the alarming part is that they didn't seem to care or wish to be there themselves and it felt like we were intruding. I'm hoping we were secretly on an episode of Punk'd because that delicious meal took too much effort. Great concept, terrible execution.
<Date> 2013-04-22
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 6675
<Author> Alyssa O.
<Author Location> Savoy, IL
<Title> title
<Content> I went here for my birthday and holy crap, amazing food. Where has this place been hiding? The drinks were great, but the seafood paella was awesome. Perfectly cooked scallops. They were so tender and sweet, I could have eaten twenty. All of our food was great.
<Date> 2014-08-12
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 6676
<Author> Kathleen M.
<Author Location> Champaign, IL
<Title> title
<Content> Meun is interesting, food is delicious. All 4 of us very much enjoyed our meals. The only issue we had was service; it seemed like they were understaffed (maybe a few servers called in?) and though our server did ok, it was slower than expected. Bottom line, one of the best restaurants in Champaign and I'm excited to return!
<Date> 2014-02-23
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 6677
<Author> Kali M.
<Author Location> Frankfort, IL
<Title> title
<Content> I really needed to break out and try a new restaurant in Champaign. We are here for football weekends and usually go to the same couple of spots. I was down visiting my daughter and she chose a winner!Escobar's has a very inventive menu with a fusion of many latin tastes with its own Ol added to the mixture. We had the fried calamari for our app, something I would not expect in a Latin restaurant but it was delicious with one heck of a tasty sauce. I had the Cuban sandwich for my main course and it was crunchy with all the distinct flavors you expect in a Cuban sandwich but with their own version of it.My favorite two beverages in the world are freshly brewed iced tea and bottled Mexican coke and they had both. Hard choices that are great either way are part of what makes this such a great place.It's more expensive than your typical Mexican restaurant because it is so much more and quite frankly, aren't you worth it?
<Date> 2012-07-31
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 6678
<Author> Paul D.
<Author Location> San Francisco, CA
<Title> title
<Content> I'm with Pete B. -- doesn't live up to the hype.My parents took us to Escobar's as part of their "see - Champaign has just as good dining as your neck of the woods... promise!!" dining tour. This was near the top of their list of must-go's.The food was good, but not great, and certainly not amazing. At our table, we had:- Hanger steak asada - Phyllo-wrapped lamb loin (got the best reviews, but they still weren't enthusiastic)- Sesame-crusted salmon- Sauted shrimp and scallopsThe service was fine, though we were kept waiting for our food for a LONG time. Plus, all entres but one came out at the same time, and it took more than five minutes for the last to show up. I hate when they do that... everyone who has their food wants to eat it but feels they need to wait, and the one person who doesn't have their food is left feeling guilty and telling everyone to start. No thanks.Also worth noting:18% gratuity for parties of 5 or more, "for our convenience. " Really? I've never seen this for under 6, and usually under 8. This is so they're more sure to get a good-ish tip because they're planning on the party being difficult because of its size. 5 people is not difficult, suck it up.$4 Split plate charge. Really? This is not a hoity-toity enough place to pull this off, even in Champaign. Thanks for putting it on the menu, though, instead of trying to sneak it in... at least you're broadcasting your shortcomings.-Overall, given the weird choices they make, the good-but-not-great food, balanced with the meal prices (most hovering in the $20 entre range), it's solidly a two-star experience. I wouldn't return.
<Date> 2011-05-24
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 6679
<Author> Nate S.
<Author Location> Houston, TX
<Title> title
<Content> One of the better restaurants in Chambana. A cozy, open dinning area with a small bar. Warm colors, bright and airy. A very comfortable feel. Service is attentive and knowledgeable. The food here is very fresh, and the kind of Latin American/Mexican that I wish more places would make.Appetizers are great. Ceviche is fresh as can be, and I love the Duck Confit taquitos. Main dishes are large, filling, and always fresh as well. Their seafood is great. Tilapia and salmon are cooked perfectly. Wild mushroom enchilada is awesome. They have some sandwiches for lunch that are great. Tacos for early bird dinner, great. You will not find mounds of gelatinous refried beans and crappy rice that come from a can or bag here. You can taste the fresh flavors. A great mix of Latin America and Mexican. They also have a half way decent beer selection in bottles. I usually enjoy some Founders. A well stocked bar, and good mixed drinks. I keep saying this, but it is true. A great spot with fresh and well prepared food. One of my favorite spots in Champaign/Urbana.
<Date> 2013-04-02
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 6680
<Author> Pete B.
<Author Location> Eureka, IL
<Title> title
<Content> Awesome menu and always delicious fresh food! Only real complaint is that their hours can be tricky to remember, especially on weekends. Could be an amazing brunch spot.
<Date> 2014-07-30
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 6681
<Author> Lauren C.
<Author Location> Chicago, IL
<Title> title
