<Hotel Name> Home of Gourmet Chinese & Thai Restaurant
<Hotel Address>
<Overall Rating> 3.5
<Avg. Price>
<URL>
<Image URL>

<Review ID> 7115
<Author> Eugene W.
<Author Location> Urbana, IL
<Title> title
<Content> I love HOG, I can't say that enough. Sure, it looks kind of crummy from the outside, but don't be deceived, it is a great hidden diamond of goodness. Easily best Chinese on campus (yes, even over cravings).Go there for the lunch and dinner specials, you get two entrees over rice or noodles for 5.50. It's only 50 cents to add on another entree. Listen, they don't mess around with the portions. They give you A LOT of food, for so little! And it's damn good food too. Everything I've gotten here I've liked. The dishes are all put together well. If you're a scared baby get the orange chicken or kung-pao whatever dish they have during the lunch/dinner special. When you want something more go for the spare ribs, green beans, and pork meatballs. You can't go wrong here.
<Date> 2014-11-12
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 7116
<Author> Amy L.
<Author Location> Evanston, IL
<Title> title
<Content> This restaurant is AMAZING! I've never gotten more value as a college student in my life. This place's value rivals even McDonald's McChickens. Anyways, the lunch special is $5.50 for two entrees and you can add more entrees for $0.50 each. This place was packed with international students when I came for lunch, and that's how you KNOW it's authentic and quality. The hot & spicy chicken was definitely good. Their tofu dish was also very good. I got to select from maybe 12 pre-prepared dishes for the lunch special (I think they switch the dishes out daily), and I got to pick a side of either rice or rice noodles. I got rice noodles. The amount they gave me was jaw dropping. A lunch special honestly equals about two meals. If you order only two entrees, they pack in more of the entrees to fill the box, so I think it's a better deal to just get two if you don't mind less variety. I was full to the point of feeling sick after trying to finish an entire meal. The lunch special also comes with a free soda or water which makes this place even more so the winner winner chicken dinner. Oh my goodness, how I love Home of Gourmet.
<Date> 2014-09-07
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 7117
<Author> Jessica K.
<Author Location> Northbrook, IL
<Title> title
