<Hotel Name> Murphys Pub
<Hotel Address>
<Overall Rating> 4.0
<Avg. Price>
<URL>
<Image URL>

<Review ID> 7144
<Author> Shaobo S.
<Author Location> Round Lake, IL
<Title> title
<Content> Date of Original Review: 09/11/2014*Based off of visits from August 2012 - May 2014Murphy's Pub is an awesome place to be any day or night of the week. The food and drink selections are great and fairly priced. The pub has several billiards tables, a jukebox, and a small outdoor smoking area with several tables and chairs. One of the greatest things about Murphy's Pub, other than the lively, fun and friendly bartenders, is that it offers several fun weekly events such as free bingo and trivia for prizes.
<Date> 2014-09-11
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 7145
<Author> Steven M.
<Author Location> Urbana, IL
<Title> title
<Content> I love watching drunk freshman share the plate of Irish Nachos, absolutely hilarious. Burgers are great, beers good enough for a campus bar. Exactly what you expect.
<Date> 2014-07-31
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 7146
<Author> Don M.
<Author Location> Mokena, IL
<Title> title
<Content> What a shit hole! Came here for a drink and a burger and I never made it that far. It was almost 4 in the afternoon and I sat at a pub table. My sleeve got stuck to the table. A voice came from behind the bar that said. If you want drinks or food, you have to order at the bar as there were no waitresses. I got up and grabbed a couple menu's. Looked it over and said. Let's go, I've seen enough. I will only pass thru college towns from now on!
<Date> 2014-11-07
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 7147
<Author> Mike J.
<Author Location> Mokena, IL
<Title> title
<Content> Dropped in on a Saturday afternoon and the place was empty. We sat at a table by the bar and the bartender said we have no servers so you have to order here. We looked at the menu and standard bar food nothing different than others. Being Saturday and plenty of college games on but just not happening here. Most likely a lively place later and could be decent to hang. Just did not work this time.
<Date> 2014-09-22
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 7148
<Author> Rick C.
<Author Location> Tempe, AZ
<Title> title
<Content> 4 stars for tradition, 2 stars for food quality and 1 for service. The female bartender that took our lunch order had ZERO personality. They make you pay up front for your food. Every time I said "Thank-you" to the bartender, she replied with "No Problem". I'm glad it wasn't a problem. I'd recommend drinking here at night, but not eating.
<Date> 2014-09-17
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 7149
<Author> Brendan H.
<Author Location> Aledo, TX
<Title> title
<Content> Ate here last night with 11 friends - maybe the worst meal we've ever had. Food was cold. Almost broke a tooth on a French Fry. No table service. Place was dirty. Do you get the idea it was bad?Skip it and save yourself a possible trip to the dentist.
<Date> 2014-08-04
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 7150
<Author> Ryan R.
<Author Location> Champaign, IL
<Title> title
<Content> Nice bar to grab food and a beer at. Service from bartenders is mediocre. Atmosphere is Irish-feeling but feels kinda meh
<Date> 2014-08-05
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 7151
<Author> Tiffany R.
<Author Location> Cicero, IL
<Title> title
<Content> This is the best bar on campus. If you're looking to have a conversation with friends and/or potential dates, Murphy's is for you. The bartenders are friendly, the food is always made to order, and the pub is the cleanest on campus.
<Date> 2014-02-11
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 7152
<Author> Macy W.
<Author Location> Raleigh, NC
<Title> title
<Content> I always look for a nice pub when visiting different cities. I saw this while walking on campus and decided to check it out.... Staff not friendly or sociable... Maybe it's because Im from the south and use to hospitality ....but damn how about a smile and a conversation I WAS ONLY PERSON at the bar.. I even tried to get a convo going... I know my opinion isn't going to close the bar but as a former bartender who OWNs a company now .... Customer Service is what will make you $$$.
<Date> 2014-04-25
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 7153
<Author> Lucas W.
<Author Location> Chicago, IL
<Title> title
<Content> nice selection of beer and they have Green Line on tap! the bartender who was there when we went was great at recommendations for all different tastes. cheap prices and a cool divey feel.
<Date> 2014-09-01
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 7154
<Author> Max K.
<Author Location> Wilmette, IL
<Title> title
<Content> As my favorite place to drink in Champaign, Murphys has to get 5 stars. The food at Murphys is solid. Not fantastic but solid and you gotta get the Irish Nachos to split with a few friends. The food can take a while to come out, especially if they're busy, so just be patient. The best nights at Murphy's are Wednesdays and Thursdays.Wednesday is logo night so you can grab a pint and keep the glass for under $5 and refills are only $2.50 I think. Phenomenal deal. My cabinets are full of awesome logo glasses thanks to Murphy's. Thursdays are phenomenal because it's $2 pints. Any pint for just $2. You'll never beat that. I hear they may have upped it to $2.50 but that's a good variety of decent quality pints for just $2.50. Go out with a $10 bill and you'll have an awesome night. That simple, that's all you need.
<Date> 2013-07-25
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 7155
<Author> Amanda M.
<Author Location> Rio de Janeiro, Brazil
<Title> title
<Content> Good times with friends and cheap beers, and that's pretty much it.The food is not bad, but its just bar food, so u cant expect much. The Irish Nachos is good to order with two more people. The other appetizers are just ok (hmm, the spicy cheese bites are good, although small), but there's usually some food special everyday.Because of the regular coming, you develop certain bonds with the place, even if the place is not great. If this bar was located anywhere outside Campus, I dont think I would ever go there. However, the memories make the place and thats pretty much how Murphys survives.
<Date> 2013-12-08
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 7156
<Author> Jeremy S.
<Author Location> Champaign, IL
<Title> title
<Content> One of my favorite places to have a beer in Champaign. Usually good drink specials and a good juke box. Irish Nachos are a must if you're hungry!
<Date> 2014-01-03
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 7157
<Author> Noam S.
<Author Location> Chicago, IL
<Title> title
<Content> So that no one may be further misled, Murphy's can only be truly appreciated though the lens of a college student. The place caters to the average college-aged individual who is content to fraternize with his or her colleagues over inexpensive alcoholic beverages and greasy diner food. While classier than the average campus-town bar, Murphy's by no means rivals the sophistication of the surrounding bars of downtown Champaign and Urbana. Classically, Murphy's tends to be more popular among the graduate and older undergraduate students, but that doesn't deter alumni and non-student patrons from frequenting. The beer selection outmatches any other bar on the University of Illinois campus and it is a bargain cost-wise compared to the non-campus bars. Food is typically served until 11 p.m. each night, with one of the most popular dishes being the "Irish Nachos" - essentially a whole plate of waffle fries decked with nacho toppings that you'll need a friend or two to finish. A host of burgers and other fried foods are also available with various specials throughout the week. I have nothing but the fondest memories of Murphy's Pub. There's nothing ritzy about it, but if you're open to having (or reliving!) a fun yet relaxing college night, Murphy's is the place for you!
<Date> 2013-04-08
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 7158
<Author> William L.
<Author Location> Urbana, IL
<Title> title
<Content> It's a pub when you're looking for a pub, not a bar. And that's a good thing. Murphy's keeps things simple, cheap and fun. This is always a good place to have a beer after a long day working, and just enjoy the casual feel.
<Date> 2014-04-28
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 7159
<Author> Vikram A.
<Author Location> Huntley, IL
<Title> title
<Content> If you were to add up the amount of time I spent at Murphy's in college, it would probably be close to the total time I spent in class. Even today, this haunt is still our campus favorite when down in CU for a football/basketball/hockey game. Back in my day, they didn't have the new addition but having the additional space makes it much easier to get a table and some space to move around without affecting the divey-campus bar feel. Wednesday is Logo Glass Night, and I have several boxes of the great glasses I accumulated over the years.Their beers on tap is great, especially for a campus bar. The food is pretty good pub grub, but I believe there is a "game-day menu" where only certain things are served, which is kind of a bummer if you want Irish nachos on game-day because it's not on the menu. The jukebox is great (every fricking song by The Black Keys can be found on there) and there are loads of flat screens to catch whatever game is on. If you get there early, you won't even have to pay a cover.
<Date> 2010-11-04
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 7160
<Author> Paige D.
<Author Location> San Francisco, CA
<Title> title
<Content> Murphy's burger and fries. A classic. You can go for all your fancy burgers, custom cooking, whatever it is. But, I will always reminisce about the burgers at Murphy's. It's no longer the tiny dive bar it was when I was in college, but it still has a very relaxed feel. Feel free to carve into the old wooden tables, everyone over the past 15 years has!
<Date> 2007-09-12
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 7161
<Author> Xander S.
<Author Location> State College, PA
<Title> title
