<Hotel Name> Spoon House Korean Kitchen
<Hotel Address>
<Overall Rating> 3.0
<Avg. Price>
<URL>
<Image URL>

<Review ID> 7394
<Author> Mark V.
<Author Location> Urbana, IL
<Title> title
<Content> I love the tofu burritos here and the bubble tea is pretty solid. The burritos include sweet and spicy tofu, cilantro (optional), rice, cheese, lettuce, and other veggies. Personally, I think the flavor combinations is great and the burrito is huge (so I always get two meals out of it). My friends and I have all had good experiences with the Korean-Mexican fusion dishes. I've heard mixed reviews of the other items including the bi-bim-bap, but I'm not an expert on Korean food, so I'm not factoring that into this review. I like the space and decorations in Spoon House. However, it is slightly pricier than other establishments on Green Street and I've had experiences where my food can take a bit longer than I would expect.
<Date> 2014-06-04
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 7395
<Author> Bo D.
<Author Location> Mattoon, IL
<Title> title
<Content> The food here is very good! Big bowl of seafood soup! The cashier lady had a very horrible attitude! Didn't smile didn't even want to answer our questions! She basically ruined the experience! To the Asian cashier lady....you need to cheer up or quit your job.
<Date> 2014-11-18
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 7396
<Author> Xi S.
<Author Location> Urbana, IL
<Title> title
<Content> I find this place much better than the 3/5 rating it currently has. The food is good, and they usually have it ready pretty fast. Prices are good. Unlike a lot of places around campus, it's not very crowded here. That might be because a lot of people don't like it, but I come here quite often for lunch.
<Date> 2014-11-18
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 7397
<Author> Jamime W.
<Author Location> Champaign, IL
<Title> title
<Content> I came here for their bubble tea, and it was so expensive!!!!!!!!!!!!! 5 bucks for a tiny little cup!!!!!!!! WT----?!!! my dear friends, listen to me, do not waste your money on the bubble tea, it was not worth the money. Food-wise, i haven't tried too many dishes yet, but the burrito is pretty good (i like the rice, its sticky and fresh). The restaurant is pretty, and they sell cute Asian snacks in the front. Shrimp chips, candy bars, stuff like that. Nice touch!
<Date> 2014-10-14
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 7398
<Author> Sherry Y.
<Author Location> Urbana, IL
<Title> title
<Content> don't know if it's authentic in Koreans' opinion. I was there ordered rice cake w/ fish cake and tastes good. The ambiance was good too, great lighting and space. will go there again if I have that crave for Korean food
<Date> 2014-10-11
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 7399
<Author> Eli J.
<Author Location> Chicago, IL
<Title> title
<Content> I had the soondubu jjigae on a rainy afternoon just awhile ago. Saltiest broth I've EVER had at a Korean restaurant. I couldn't even drink the soup. All the seafood in my bowl was incredibly rubbery and difficult to swallow. The added sodium did not help. On top of all this, the soup had no weight and was really thin. I was basically drinking salt water.Hoping for a better experience next time.
<Date> 2014-04-23
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 7400
<Author> Diana L.
<Author Location> San Antonio, TX
<Title> title
<Content> I'm not from Illinois but I came to take a look around the campus with a friend. Being fans of everything Korean, we decided to stop by at the Spoon House. I tried their spicy seafood platter and loved it. It was well worth the price.I also got the Korean quesadilla/taco. Those tasted not so great and oddly sweet.
<Date> 2014-05-22
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 7401
<Author> Kyle M.
<Author Location> Buffalo Grove, IL
<Title> title
<Content> I walked by their poster advertising Taco Tuesday and Thursday, and being curious about Asian fusion food, I decided to buy some...on a Wednesday. I was kind of hoping the regular price was worth it, but I was disappointed. By no means did they taste bad, but they weren't great either. I was kind of irked by the sogginess. It was all mushy and the juices from the meat mixing with the sauce made eating the "taco" like eating a moist sponge. I got a bulgogi beef and bulgogi chicken taco, and I noticed this was the same issue for both tacos. The beef was okay, but didn't have much flavor besides being spicy. The chicken was a bit dry, but despite that, it tasted pretty good with a mix of sweet and spicy. I'm not a pro on Korean food, but I think K-Bowl and Arirang do it better along with better pricing/portions.
<Date> 2014-06-13
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 7402
<Author> Shelby P.
<Author Location> Urbana, IL
<Title> title
<Content> Not bad, but there are better options nearby. I like Arirang a little better, and Woori-Jib even more. There are better places a bit further away like K-bowl, which I highly recommend, and Star Karaoke which is in Savoy.I come here primarily for two dishes: Bibim nyang myun, and the crispy spicy chicken both of which are pretty good. Prices are a bit high, but they have introduced some cheaper dishes recently. The major complaint I have is with the fruit flies. Winter, summer...whenever, they're always there flying around you. No other place on campus has this problem. I counted 5 of them on the wall right next to me the last time I ate here, and usually I have to swat them away several times while I eat. Not a major problem for some, but it's an issue for me.
<Date> 2014-06-03
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 7403
<Author> Eric K.
<Author Location> Frankfort, IL
<Title> title
<Content> Spoon House is a great place for lunch. I love the Mex-Asian fusion bugolgi burritos as well as the the traditional options on the menu. The food isn't the best Korean food I've eaten, but it sure hits the spot when I'm craving some bi bim bop. If you have never tried Korean food, Spoon House it's a great place to start. The menu is full of popular Korean dishes, and if you're not feeling adventurous, the burritos and tacos are a great alternative.
<Date> 2012-06-17
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 7404
<Author> Glo K.
<Author Location> Chicago, IL
<Title> title
<Content> I went to Spoon House three times this past semester, and the thing that brings me back every time is their Korean tacos. I had Korean tacos for the first time a year ago, in LA, the home of Korean-Mexican fusion. Despite being two thousand miles away, Spoon House's tacos are definitely good enough to compete with those on the west coast. To know my knowledge, they're the only restaurant in town that serves such a dish; they're both delicious and reasonably-priced, which adds to their good reputation. Go for the beef bulgogi taco and the spicy chicken taco, those are the two best. Personally, I feel that they are too heavy to be eaten exclusively as a meal, so you're best off ordering a small rice or noodle dish with several tacos on the side, so it's easier on the stomach. I would avoid the quesadillas, the saltiness overwhelmed the taste of the meat. I can't really speak for the rest of the menu, but those tacos are quite a gem.
<Date> 2014-04-24
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 7405
<Author> Thomas B.
<Author Location> Saint Louis, MO
<Title> title
