<Hotel Name> Sushi Ichiban
<Hotel Address>
<Overall Rating> 3.0
<Avg. Price>
<URL>
<Image URL>

<Review ID> 7491
<Author> Jessica K.
<Author Location> Buffalo Grove, IL
<Title> title
<Content> It's cheap and decently fresh sushi. We are in the middle of nowhere - fish can't exactly be delivered and prepared on the same day, so don't go in expecting something fancy. Like its rating, it's A-OK sushi. Sushi Ichiban has a huge menu though, and they offer Chinese food along with a wide range of sides, appetizers, and drinks. You can even get packaged food to go if you're in a rush.I only go here when I feel a craving for sushi and want to go all out with the all-you-can-eat offer. It's $25/person and you get a menu to mark what you want. Then they bring out your order and when you're done, you can ask for another sheet to order more. The number of choices is quite large and chances are you'll find something you like. I enjoy the sweet potato roll, the Las Vegas roll, New York roll, and the Bubba Gump roll the most. They sometimes look good, but sometimes they look hastily made and are unevenly cut/fall apart. I also hate it when they cram the rolls full of veggies/rice and only a small bit of fish. The miso soup is okay though.Tip: The raw tuna they use sometimes tastes bad, so eat at your own risk. It's not worth getting something like the spicy tuna roll and having to eat it or pay the $1/piece left uneaten fine. My tuna roll had a strange, fishy taste and the color was a dull reddish-brown with a glossy sheen to it.Waiter service: almost non-existent. You get water by yourself (grab a pitcher if you have a big party), and the only service is when they bring you your sushi. There is one Caucasian waiter who is really nice and dedicated to good service. He jokes around, is totally friendly, and he works really hard. I dislike the Chinese waiter though because my boyfriend and I were eating together and he gave our order to another couple who didn't even look like us. He literally decided to give it to the first table of two he saw. After a long wait, I asked him about my bf's order because I overheard the couple picking at the rolls and saying they weren't sure if this was their order. He says, "Oh, I gave it to that table." No apology or anything. We had to reorder and wait even longer for his order to come out. They also messed up my order and out of the three rolls I ordered, they completely forgot to give me my third one. As a poor student, I guess this is the highlight of my sushi experience when I want okay sushi, but don't want to splurge.
<Date> 2014-06-25
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 7492
<Author> Kaiwen X.
<Author Location> Champaign, IL
<Title> title
<Content> I tried their yakisoba and as far as cheap Asian-y takeout-y noodles go, I can't believe I'm saying this, Chopstix does it better. It's edible though so whatever. Lol.
<Date> 2014-10-17
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 7493
<Author> Eric K.
<Author Location> Urbana, IL
<Title> title
<Content> Sushi ichiban is yet another excellent stop for hungry college kids. After tasting the delicious menu in ko fusion, I had pretty high standard but I was pleasantly surprised. I ordered the 3 roll combo for 10.99, I got the salmon roll, spicy tuna and fancy roll. All three were superb. The fish tasted fresh and the taste was authentic, not to mention it was an incredible deal for that price. I didn't get the chance to try their non sushi dishes though. I'll definitely be back for more.
<Date> 2014-10-26
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 7494
<Author> Tejas S.
<Author Location> Chicago, IL
<Title> title
<Content> Don't let the name deceive you, because this is a one-stop Asian food shop, not just for sushi, which is what I originally thought, and consequently didn't come here for four years. The menu is huge, definitely biased toward sushi and sushi rolls, but contains other things like rice porridge, teriyaki, or noodle soup. I had a sushi roll, which was, expectedly, pricey and did not fill me up, but the following time I enjoyed a very agreeable bowl of vegetable congee. I'm usually wary of places that try to cook such a huge menu of foods, but I was pleasantly surprised to find that they are doing a pretty ok job of it. Definitely stop by, at least once, it's worth a look.
<Date> 2014-08-29
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 7495
<Author> Mackenzee K.
<Author Location> Livermore, CA
<Title> title
<Content> This place is terrible. The only reason I gave this place a shot after experiencing their sloppy food is because it's so close to engineering campus.A word of caution for those who care:None of the non-sushi items are vegetarian it turns out. Before I order something, I usually make a point to double-check. When I asked about the 'vegetable teriyaki', the guy rudely said 'that's why it says vegetable'.When I received my plate after his reassurance, I noticed some meat in the dish. I took the thing back to him, and he refused to talk to me because he said 'I wasn't a customer'! What?! I lost it when he told me to get out of the line.Bottom line is that place has bad service, is extremely inhospitable, and is not suitable for vegetarians. Furthermore, after the owner had to get involved, I learned that the all sauces/broths have some chicken in them. I can understand when someone makes a mistake. I hate when people who cannot admit it when it happens and make no attempt to rectify the situation afterwards.
<Date> 2014-01-31
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 7496
<Author> Liz C.
<Author Location> Chicago, IL
<Title> title
<Content> The Good:-The sushi itself is pretty good, not fantastic, but good. The rolls are a little sloppy, but not too bad. -The prices are fantastic, and definitely good for a college student. The Bad:-The miso soup is just not good. The tofu chunks are enormous (around 1"x1"), and the broth has very little flavor.-The service is meh, no waiter service, unless you get All You Can Eat.
<Date> 2014-02-02
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 7497
<Author> Santi D.
<Author Location> Willowbrook, IL
<Title> title
<Content> Service was good. Rolls were okay. I had a cali roll, hubby had an avocado roll and my brother had a salmon roll.They all looked okay, a bit sloppy. Taste was okay.Love that there is soy sauce and sriracha on each table. I asked for a side of spicy mayo for my roll, it was good.The specials here are really good. We came for a snack around lunchtime. 3 rolls, for 10 dollars. It made a great snack.
<Date> 2014-05-26
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 7498
<Author> Emily S.
<Author Location> Chicago, IL
<Title> title
<Content> :/ It's alright.No servers, you must order and come back to the counter to pick up your meal but staff is friendly and courteous. Establishment is clean. Water is self serve in styrofoam cups from plastic pitchers near soda fountain machines. Spicy & Hot Beef Noodle Soup:Broth was tasty and spicy as advertised. Ingredients didn't have any of the broth tastiness. Beef was a little chewy/rubbery. Veggies and noodles were fine. Miso Soup:About the size of a can of Campbell's soup.
<Date> 2013-08-20
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 7499
<Author> Mark C.
<Author Location> Champaign, IL
<Title> title
