<Hotel Name> Casablanca Kabab House
<Hotel Address>
<Overall Rating> 3.5
<Avg. Price>
<URL>
<Image URL>

<Review ID> 7556
<Author> Connie L.
<Author Location> Chicago, IL
<Title> title
<Content> I came here on Sunday and decided to try out their buffet, which is $9.99 per person. They serve rice, naan, a few main dishes and dessert. It was a very good selection for me! I have not tried many Indian dishes, but I would recommend this place if you want try Indian food. It's not too expensive and you can eat as much as you want. I would also recommend trying their rice pudding!
<Date> 2014-11-19
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 7557
<Author> Sean K.
<Author Location> Carol Stream, IL
<Title> title
<Content> I was intrigued by the $9.99 buffet and stopped by for lunch. There were about 6 different dishes including chicken kabobs, a couple different chicken curries, and a cauliflower dish. There were also two different dessert soups (one was like tapioca or rice pudding). I was expecting the restaurant to serve more kabobs, which was a let down. The food was mediocre.
<Date> 2014-11-09
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 7558
<Author> Kelly S.
<Author Location> Champaign, IL
<Title> title
<Content> Definitely an OK deal for students.. My friends and I visited for dinner and it was 9.95 plus tax per person for blend, salty, and mediocre buffet style indian food. I'm sure they do other menu items too but I'm not sure I will visit another time to try them out.
<Date> 2014-10-23
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 7559
<Author> Nausser J.
<Author Location> Mahomet, IL
<Title> title
