<Hotel Name> Zorbas Restaurant
<Hotel Address>
<Overall Rating> 4.0
<Avg. Price>
<URL>
<Image URL>

<Review ID> 7596
<Author> Alex C.
<Author Location> Studio City, CA
<Title> title
<Content> The best gyros I've had anywhere, which is saying something since I was born and raised in Europe, and live in Los Angeles. The meat isn't dried up and charred like I've hat at so many other places - it's fresh, juicy, and flavorful. No bland, thin pita or cucumber sauce here. The only downside is that there aren't any Zorba's in LA, because now I'm addicted.
<Date> 2014-07-21
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 7597
<Author> Ro B.
<Author Location> Orland Park, IL
<Title> title
<Content> After my horrendous experience with Niro's I was optimistic that Zorba's might have a better gyro.The store is right on Green street and impossible to miss walking by. Inside is pretty cool, open style kitchen and lots of indoor seating. The menu is on the counter where you order, which could be problematic if you are like me and take 5 minutes to look at a menu and there are people behind you!I decided on a 4oz gyro and mac and cheese bites. My name was taken and I was called when it was ready. Interestingly enough, you also pay right when your food is ready, which was different, but I liked it!I dashed home and unwrapped everything, anxious to try it. My gyro was actually pretty small and almost resembled a taco in size and shape. I did think that this gyro was really on point though. The meat was thicker, flavorful, not too greasy and of a good consistency. The tzatziki was really good, too! Kind of creamy but not too yogurt-y or watered down like some places. The mac and cheese bites were also surprisingly good. Usually these are just dry pieces of mush but on the inside they were warm, gooey and tasty! Overall I would definitely say the Zorba's has the best gyro in the CU area, but I still need to try more places.The only thing I did not like was the portion/price. My gyro was not very big, I probably could have ate 2-3 of them. However, quality over quantity any day of the week and this was one tasty gyro that would really give my suburban favorites a run for their money.I'll be back to try more!
<Date> 2014-10-30
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 7598
<Author> David B.
<Author Location> 
<Title> title
<Content> 2.5 stars. I have a feeling that at some point in the 1970s this place was serving amazing family recipe homemade gyros and built some kind of mystique. Well, now it's clearly just Kronos fast food, and they misfire on all cylinders.The meat is barely roasted and heated through, it's supposed to be super charred. Cucumber sauce is just some yogurt. The pita isn't olive oil crispy, it's microwaved or something. You can get a sandwich like this anywhere in Chicago, prepared a lot better.Prices are good, portions are fine for the cost, flavor is substandard to most gyros I've had elsewhere. I'd still eat junk food here over Chipotle, which is fresher but a heartless corporation, but this place is a big disappointment considering the lore that comes with it. Find that old family recipe and get back to doing things the old fashioned way!
<Date> 2014-05-28
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 7599
<Author> A L.
<Author Location> Denver, CO
<Title> title
<Content> Yep, it lived up to the hype. Great gyro sandwiches with a cool local feel. The pita is soft and the gyro meat is some of the most tender I've found. Brilliantly seasoned too, the meat is definitely what sets these gyros apart. I also liked that there are multiple size options for the sandwiches. The place has a nice, local college hotspot feel. Not wild and crazy, but more the kind of place students stop by on their way to and from class.
<Date> 2014-03-27
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 7600
<Author> Stephen C.
<Author Location> Urbana, IL
<Title> title
<Content> The salad doesn't have enough cheese!
<Date> 2014-09-22
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 7601
<Author> Marc A.
<Author Location> West Lafayette, IN
<Title> title
<Content> Not a gyro expert but this was the most tender gyro I've ever had. Didn't know a gyro could achieve the melt in your mouth consistency. I usually am hungover when i eat gyros, but I was not hung over when I ate this. I almost want to binge drink so I can eat here the next day. Good stuff.
<Date> 2014-09-04
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 7602
<Author> Mark C.
<Author Location> Champaign, IL
<Title> title
<Content> This is simply one of my favorite spots in town. They say that consistency is the hallmark of excellence. Well I've been stuffing my face with their delicious gyros and assorted fried side dishes since high school, and I've yet to eat one that wasn't just totally fulfilling and delicious. Actually, the hallmark of excellence is probably just making really fantastic gyros, which is a thing that Zorba's is all about. The staff is always friendly, and even at their busiest you're going to get your order quickly.My go to order has generally been the large chicken, however you can't go wrong with the classic. You can take either and pick a size to fit your small-large appetite, and then customize it from there, which is a little different, and better, than most other gyro joints I've visited. I also prefer subbing in onion rings or fried mushrooms for fries.The location is a little small, so it can get packed during the lunch hour, but even so there is usually a table open, or you can easily get your meal to go.If you find yourself on campus and don't check this place out, you're doing yourself an enormous disservice.
<Date> 2014-04-30
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 7603
<Author> Mark O.
<Author Location> Urbana, IL
<Title> title
<Content> They sell their gyros in 4 sizes: 2 oz, 4 oz, 6 oz, and 8 oz. This is pretty neat as a large or medium gyro should be enough to suffice a hungry person. However, I have to say that their gyro meat isn't as succulent as I thought it'd be. The Greek salad wasn't anything special either. I gotta say that I prefer Niro's Gyros more.
<Date> 2014-05-23
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 7604
<Author> Tricia L.
<Author Location> Champaign, IL
<Title> title
<Content> Best Gyros in Illinois. Fast and delicious. A campus treasure. A Champaign treasure.The gyros are authentic and the santiki (?) sauce is second to none. Greek salads are another highlight.
<Date> 2014-05-01
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 7605
<Author> Lucas W.
<Author Location> Chicago, IL
<Title> title
<Content> Came to Zorba's on the suggestion by a cousin who has, and I quote, "never given a bad food recommendation".And it was another hit! Chicken gyros and fried mushrooms for dinner hit the spot. At other Greek spots, I'm used to having a humongous foil wrapped hunk of a mess of gyro served to me that I inevitably finish... and end up feeling like a blob because I didn't want to waste food. But Zorba's is here to help you with portion control! I like how they offer their gyros in 4 different sizes. Oh, and try the cucumber sauce. You know you're in for a treat when it takes 9.8 seconds for the grease in your meal to seep through the bottom of the paper bag.
<Date> 2009-06-27
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 7606
<Author> Michael N.
<Author Location> Wilmette, IL
<Title> title
<Content> My favorite restaurant right around the university. Phenomenal gyros. I'd say I still hold Zorba's as the golden standard of gyros. I was there every Tuesday in college for Groovy Tuesday - $1 off gyros - and i was probably there at least one other meal each week. Quick, cheap, delicious. Can't get better than that.I have a gyro or two every time I'm back in Champaign. Everyone should eat more Zorba's!!
<Date> 2013-06-19
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 7607
<Author> Paige M.
<Author Location> San Jose, CA
<Title> title
<Content> Great restaurant! Being that I was hanging out in Everitt for most of my stay in Chambana - I got very familiar with Zorba's!What to say about it... Service is always great. The people that work there always seem happy and treat you well. Prices are totally reasonable. I went almost every Tuesday as it was cheaper on Tuesday. Their gyros are great - though if you get a normal gyro you will be left smelling, well, like a gyro. The chicken gyro never had that effect for whatever reason. So good.I went almost every Tuesday and I'd get a large normal gyro with a side of fries. I'd bring a textbook and study for an hour or two while enjoying my amazing food. Great place to study ( at least for me) as there was always enough noise to keep my mind from wandering - but little enough noise so that I could concentrate.Never eat here before a test. You'll go into a food coma and not do well on your test. I learned this the hard way. The very, very hard way.
<Date> 2008-08-21
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 7608
<Author> Dave R.
<Author Location> Ann Arbor, MI
<Title> title
<Content> I only went to Zorba's a couple times before it closed, and I remember being disappointed with it because I could get much better gyros back home. I had given up on gyros on campus (until I went to niro's but that's another review) but I was willing to give Zorba's another chance when it reopened. Many of my friends thought I was crazy for preferring niro's, so maybe I just remembered wrong?Well, it was pretty much the same as I remembered. The meat is mediocre, and I feel like you definitely get more for your money at niro's. I do like that they have different sizes so you don't have to get a giant gyro if you're not particularly hungry.Had I rated Zorba's before coming back, I would have given them four stars. The food isn't bad; I've just had better. But my favorite part of a gyro is the cucumber sauce, and it just wasn't right here. Correct me if I'm mistaken, but isn't it supposed to be thick, white, and yogurty? And nice and cold so you get that contrast between the cold sauce and the warm gyro meat? Well, the sauce here was runny, warm, and almost clear. I don't know, maybe something was just weird when I went, but with Niro's in my backyard (where I know they have the right sauce) and graduation in a month, I doubt I'll be back.
<Date> 2012-04-18
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 7609
<Author> Jennifer O.
<Author Location> Strasburg, VA
<Title> title
<Content> The joint that launched my love affair with the gyro. Their tzatziki sauce is still my favorite, and the chili is delicious.
<Date> 2014-07-20
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 7610
<Author> Tyrone P.
<Author Location> Binghamton, NY
<Title> title
<Content> Gyros are soooo tasty, I keep coming back for more. Price is okay and service is fast. Only complaint would be portion size for their salads...their small was much smaller than in most places, but it was yummy. Seriously try their gyros.
<Date> 2014-07-01
<Overall> 4.0
