<Hotel Name> Joes Brewery
<Hotel Address>
<Overall Rating> 3.0
<Avg. Price>
<URL>
<Image URL>

<Review ID> 7858
<Author> Paul J.
<Author Location> Saint Louis, MO
<Title> title
<Content> This place is cavernous! You can walk around in there and keep finding little niches to stand.Ample tvs for game watching and great college spirit.My niece enjoyed her "Gatorade" which looked pretty good.Despite the frigid temps, the entire place was rockin'!Solid drinking establishment!
<Date> 2014-11-17
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 7859
<Author> Preston B.
<Author Location> Central Carrollton, TX
<Title> title
<Content> Service was horrible from the start. We waited for an eternity just to get menus. There was even a wait after I personally had to ask them to bring us menus. The waitress said they are very busy but the place was at 40% capacity. I understand if things are going slow but the amount of time before we even got our menus was a little ridiculous.Second biggest problem is that nothing comes out at the same time. We had a party of 6 and 4 menus came out, before the next 2. Only 4 waters came out, before the best 2. All of our burgers came out at different times. Also, between each visit from our waitress, there is a long wait.Now the food. I got the California burger with onions rings. The burger was extremely bland, you hardly notice there is guacamole, bacon or basically anything. I'd be shocked if they even seasoned their burger patty. Only thing worth anything was their perfect onion rings. Today they had half off burgers, which is the only reason why anyone should try their burgers. At full price, I'd rather go to Burger King or TGIF.It's also unfortunate that their 2.00 bud light draft special was broken. I thought they'd replace the deal with something else other than can bud-a-ritas...If you really want to try this place come for half off burgers. On a Thursday. I'm thoroughly disappointed.
<Date> 2014-06-05
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 7860
<Author> Daniel G.
<Author Location> Towanda, IL
<Title> title
<Content> Classic college bar. Best thing is the 1/2 priced burgers (which they have a ton of good options of) they have 2-3 nights a week. Drinks are reasonably priced. Service Is decent. If you're not there to party with college friends or get a half off burger it's probably a good idea to find another spot in CU!
<Date> 2014-09-29
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 7861
<Author> Macy W.
<Author Location> Roselle, IL
<Title> title
<Content> Ha, Joe's, or as I like to call it, "The House of Regrets" was oddly one of my favorite places. It probably had to do with one summer when I had a Temporary Tattoos-day party during 8th grade dance night. The dance floor is where craziness happens and I honestly haven't spent any time anywhere else in that place. But from what I remember, which isn't very much, that alone makes it worth going (but not worth cover, which btw, why did they charge cover this summer? -1 star).Last comment, lol to the review that recommended KAM'S for a "better time" than Joes. Joes might have the sticky floors, creepers, and it's fair share of d-bags, but at least it doesn't perpetually smell like vomit.
<Date> 2013-08-20
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 7862
<Author> Conor O.
<Author Location> Chicago, IL
<Title> title
<Content> They've got some really great specials! We came on a Friday and got a pitcher of shandy for $6. Their burgers are good, especially The Mountain (with avocado), and the Bob Marley. Also, I really liked the fries!! Customer service is pretty lax, but not necessarily poor. Restrooms are clean...enough. Overall, a great experience!
<Date> 2014-06-06
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 7863
<Author> Heather J.
<Author Location> San Diego, CA
<Title> title
<Content> The only reason I've ever been to this hell hole is because I knew someone who worked there. You can see overweight sorority girls clumsily swinging around the "poles" in the back bar while attempting to get the attention of one of the bartenders and dodge the puke on the floor.One good thing is that the drinks are RIDICULOUSLY cheap. shots are $2, pitchers can be as low as $4. I would imagine that if you went there in the afternoon you could have an enjoyable happy hour on the patio, but don't go anywhere near this place after 10.
<Date> 2009-03-04
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 7864
<Author> Deanna C.
<Author Location> Champaign, IL
<Title> title
<Content> Wow....went to campus to partake in some bar hopping while the students were gone. Hardly anyone was in the bar. We had been served by a girl with an Illini scarf and was awesome. Then....another girl took over. We ordered a diet with vodka, a Coors light and 2 Joes brew. What we received was a coke and jack and 3 Coors light. THEN....the bartender gave us the new vodka and diet and walked away without giving us any beers. Amateur at best.
<Date> 2013-12-28
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 7865
<Author> David T.
<Author Location> Chicago, IL
<Title> title
<Content> Joe's. Meh.There's always a cover here (sometimes going up to as much as they charge for nightclubs up in Chicago! Wtf?), the line's always hella long, the floor's always really sticky/crunchy, the crowd's always really trashy/slutty (what can you expect with stripper poles on a stage by the dance floor?), the drinks are overpriced, and the place is always super packed. So really, if this is what you're into, then you'd probably love it here, but it's just not for me.The crowd you find that frequents Joe's consists of a lot of scantily clad sorority girls and collar popping frat guys. If you can manage to maneuver your way through the sea of bodies in the hella hot and humid place and manage to secure a pool table, it can be alright with some friends and a beer. They do have heating lamps and an outdoor area for if you need some fresh air from the stifling bar, but all in all, I would say Joe's is my least favorite bar on campus.
<Date> 2008-03-29
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 7866
<Author> Shantanu D.
<Author Location> Champaign, IL
<Title> title
<Content> I only know enough about Joe's to know that the burgers are delicious, and that they're half off on Tuesdays, Thursdays and Saturdays. I almost always get the Loaded Potato burger, which is great, and their fries are amazing. Occasionally the service is really, really slow, which is a real pain in the neck, but it's not a regular problem. Their drink specials are also pretty good, on par with the rest of Campustown. As long as you treat Joe's like a den of vampires (avoid after dark), it's a nice restaurant.
<Date> 2013-12-27
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 7867
<Author> Sherry Y.
<Author Location> Chicago, IL
<Title> title
<Content> Joe's Brewery is your average looking bar in Champaign. On Tuesdays, Fridays, and Saturdays, Burgers are $5 dollars. I got the Gold Rush Chicken burger, which I thought tasted pretty good. The chicken was well done and was seasoned properly. The meal also includes a side of your choice. The only reason why it deserves 3 Stars was because the wait time was ridiculous. We waited close to one hour to be seated, and then an additional 30 min waiting for service. However, we were compensated by receiving an additional side for our meal. In the future, I recommend getting carry out and avoid the hassle of dining in.
<Date> 2013-12-09
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 7868
<Author> Brian L.
<Author Location> Chicago, IL
<Title> title
