<Hotel Name> Kamakura Japanese Restaurant
<Hotel Address>
<Overall Rating> 3.0
<Avg. Price>
<URL>
<Image URL>

<Review ID> 8187
<Author> Mark V.
<Author Location> Rantoul, IL
<Title> title
<Content> Went to lunch there today and it was awesome as usual. Staff is so friendly. We always sit at the sushi bar. I love the salad with house dressing! I always say I'm going to try other sushi places in town but I always come back to Kamakura. I've never had a bad meal there!
<Date> 2014-10-13
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 8188
<Author> Yanhua S.
<Author Location> Mattoon, IL
<Title> title
<Content> This place is a joke! Never coming here again! First time my wife and I came here the service was awful! We saw our waiter twice the entire time we were there. One to take our order and two to give us our food! We had to hunt the waiter down to get our check! Went again the 2nd time hoping the service was better.....NOPE! Same awful service. The 2nd time we were seated at a hibachi table and our seats was close to a back doorway. We could all smell trash while sitting there. When we arrived at 5pm on a Sunday, no one was there so we were hoping we get good service....I was wrong! First to be seated last to be served! So sad! We ordered drinks and the glass was filled half way!! When we asked our waitress why the drinks were only filled half way she ignored the question and pretended like she didn't hear us. We arrived at 5pm and we left at 7pm. This place sucks!!!!The BAD:Horrible service!Waiters and waitresses who don't careDrinks filled half glass Hibachi food tasted burntOne bathroom stallTrash smelling atmosphereThe GOOD:Sushi
<Date> 2014-11-18
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 8189
<Author> Amarin P.
<Author Location> Urbana, IL
<Title> title
<Content> My friend and I went there and order ramen. The service is very slow. The ramen is so bad. The soup is filled with all soy bean sauce the noodle is very very firm. hard to eat. I will never order it again
<Date> 2014-11-05
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 8190
<Author> Earth A.
<Author Location> Champaign, IL
<Title> title
<Content> This was on Saturday.7:35pm arrived and got seated immediately7:36-7:49pm watched servers walking by, chefs bringing food out themselves, and the hostess doing nothing7:50pm got our waters and "a server will be with you shortly"7:51-7:59pm tried to understand what the word "shortly" meant8pm walked outWe went to Sushi Kame and we received way more attentive service.I might visit Kamakura again "shortly".
<Date> 2014-10-12
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 8191
<Author> Jack F.
<Author Location> Champaign, IL
<Title> title
<Content> On a Saturday evening, we waited 25 minutes without anyone taking our orders. First 15 minutes went by, we confronted the hostess and was told that a waiter will be with us shortly. Waited another 10 minutes, still no one to take our order. So we walked out. Not enough waiters, the chef has to come out to serve by himself. Bad management, can't hold a dinner service on a Saturday night. Everyone in the restaurant was waiting for his or her food. I've been there many times and this was the worst experience I've ever had here.
<Date> 2014-10-11
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 8192
<Author> Mark C.
<Author Location> Champaign, IL
<Title> title
<Content> Although pricier than many restaurants in town, Kamakura delivers the quality of dining experience. I have been there at least 3 times: one time with a large group for the grill and twice with my spouse for sushi dinners. Make sure to check timing before you go: they are closed between lunch and 5PM. The food is delicious, and the servers are attentive: often times just an eye contact is sufficient to get them to come over immediately. The decor is OK, but the environment is pleasant and quiet: great for a quiet romantic meal. The higher prices are the only reason I did not give this restaurant 5 stars. What else can I say? I'm going back soon.
<Date> 2014-07-31
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 8193
<Author> Jonathan J.
<Author Location> Urbana, IL
<Title> title
<Content> Japanese restaurants are known for serving aesthetically-pleasing food which is as good as it looks. Their major foible is the fact that their food never truly gets you stuffed. This place does neither. I clearly asked for no onions on any of my order... But they put onions on every aspect of my bento box. Some of my colleagues were not even close to being full when they finished with their order. My below average bento box cost a total of $12 too. The price isn't worth it for the quality or quantity.
<Date> 2013-11-28
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 8194
<Author> Jonna N.
<Author Location> Baltimore, MD
<Title> title
<Content> Don't be scared off by the exterior -- I've only dined here once, but had a good experience. I ordered the udon & inari, which came with a plate of veggie tempura, a couple inari pockets, and a nice big bowl of udon soup. For less than $12, this is by far the best deal I've seen for this meal. From other reviews it sounds like quality can vary from dish to dish, and the location makes it a hassle to get to if you don't have a car. But I would still recommend this place, and would definitely come back again for the udon & inari.
<Date> 2014-05-25
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 8195
<Author> Slim S.
<Author Location> Chicago, IL
<Title> title
<Content> First of all, by the looks of the outside of Kamakura, I thought that the inside would look just as sketchy, but this was not the case at all. Once I opened the front doors, it was like stepping into a whole new world. It was very pretty, neat, and tidy inside. I particularly liked the booths with glass tables. They have decorative cloths covering the windows that gave the place a dim, kind of romantic lighting. It complimented the shades of blues on the booths. Another cute detail was the mini Japanese statues and figurines on the wall opposite of the windows. It helped to show a little bit of culture.There were 3 different menus, one for drinks, sushi, and Teppanyaki (Hibachi) and Teriyaki dishes. Their menus were detailed which helped a lot especially on their drinks menu. I do not find too many menus that define what flavors to expect with their sakes and wines. Although I did eye the Japanese dish menus, I was set on sushi. We ended up waiting over an hour for the sushi. They were short staffed. Only one waiter was going around taking orders and delivering the food. I saw two hostesses when I walked in which was strange to me because why would they need two hostesses when they needed more waiters. Then again it is a small restaurant and the sushi had a bit of a twist.My friend got miso soup, eel roll, and tempura salmon roll. I got a spicy scallop roll, Philadelphia roll, and spicy salmon roll. The miso was a bit salty. The eel roll was tasty. The tempura salmon roll was really cute. It looked like little tofu squares. The spicy scallop roll was so spicy that it covered the taste of the Philly roll. I made a mistake by eating that first. I thought that the pieces of fish in the sushi were a good size. Also I have never seen a spicy salmon roll made the way they made it. It has a piece of salmon in the roll and then spices on the outside. To me, I like heat so this roll was not spicy enough for me. This is where the abundance of spicy sauce on the spicy scallop roll helped out. If I come back, I would try Since the prices are a bit on the expensive side, I might come back here when I'm really craving sushi or Japanese food. I did enjoy the dcor and small twists on the rolls though. I think this place is one of the better sushi places in Champaign-Urbana.
<Date> 2013-06-16
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 8196
<Author> Taylor L.
<Author Location> Beverly Hills, CA
<Title> title
<Content> Pleasant staff, they need music in afternoon though, sorta sad decor needs refreshing. Food is good & inexpensive.
