<Hotel Name> Urbana Garden Family Restaurant
<Hotel Address>
<Overall Rating> 3.0
<Avg. Price>
<URL>
<Image URL>

<Review ID> 8365
<Author> Nelson M.
<Author Location> Strongsville, OH
<Title> title
<Content> Got in for breakfast before the sun rose on Homecoming weekend. Friendly staff and super quick service. Ordered biscuits and gravy with home fries and 2 eggs scrambled. It was hot and tasty! Only thing preventing 5 stars is the coffee. It was weak. Probably Maxwell House
<Date> 2014-10-25
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 8366
<Author> Bob M.
<Author Location> Chicago, IL
<Title> title
<Content> Restaurant review:I had high hopes for this diner in Champaign-Urbana, but I left feeling disappointed. If you like a cheap meal or breakfast item this is likely the place to go. Also if you are eligible for a senior citizen discount, this is a great place to grab a meal. For everyone else, there is so much left to be desired. I don't care about the drab interior that reminds you of a restaurant from the 80s. If the food is good I am there. The prices are cheap for dinner and they have multiple specials everyday of the week. Today was 11.99 all you can eat bbq ribs or pasta. I took at pass an tried the grilled salmon for 12.99. A couple issues came up. First there is no warm bread with butter, you get a trough of saltine crackers so this is clearly wrong in the menu. Second you can chose soup or salad, I went with the soup based on the other reviews. The beef vegetable had a lot of veggies, but no pieces of beef another thumbs down. Finally the meal itself came without any other fixins instead a slice of tomato and lettuce. I have no idea how that goes with salmon. A couple of steamed veggies would have paired nicely. Salmon was okay, nothing special that you couldn't whip up at home. Finally that amazing pie that people wrote about, if you look carefully at the shelf, those are store bought pies. All and all this is a place for 10 dollar ish meal, but I think I might have been better off eating at a fast food restaurant. Pro: cheap breakfast/lunch/dinner, daily specials, seniors discountCons: store brought pies, no fresh bread with butter which is in the menu, borderline poor-below average mealsHidden gem:Daily specials. Check the website, although it does not appear to be updated and constantly shows a Monday special
<Date> 2014-10-04
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 8367
<Author> Angela P.
<Author Location> Champaign, IL
<Title> title
<Content> I have been going here for breakfast at least once a month for nine years. I always tipped the waiting staff at least 50%. The food was always hot and quickly served.    However I had my IPOD stolen off the table! The Manager was not interested in a description of it! I am very disappointed and will not be returning there! Maybe if I am in that part of town and I have to use the John.
<Date> 2014-11-10
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 8368
<Author> Ayla S.
<Author Location> Leipzig, Germany
<Title> title
<Content> Ate here a few times because it was close to my hotel and easy to find. You cant miss the giant EAT sign out front. Listen, all you need to know about this place is that it is a homestyle Denny's or IHOP. If you dont expect too much, youll be pleasantly surprised. The cinnamon swirl french toast was delicious, as were all the breakfast items I had. The service was stellar and very friendly. This is what it feels like to eat at a family diner in the Midwest.
<Date> 2014-10-12
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 8369
<Author> Will C.
<Author Location> Urbana, IL
<Title> title
<Content> Really nice waitress but they really need to up the ante on their vegetarian options. They don't even have a plain marinara sauce option for spaghetti!
<Date> 2014-10-16
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 8370
<Author> Alex C.
<Author Location> Long Beach, CA
<Title> title
<Content> Just your standard diner. Nothing special, but good food, salad bar, good size portions. If your not looking for anything fancy, but just want to get something to eat it's the place to go. Meatloaf dinner with mash potatoes and green beans, with soup or salad was $8.95. Was hot tasty, maybe too much gravy.
<Date> 2014-10-28
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 8371
<Author> Bruce W.
<Author Location> Orland Park, IL
<Title> title
<Content> Definitely better than Denny's or IHOP, and a great breakfast after a night of drinking at U of I.Steak and eggs looked good and was a large portion. I got a sausage and egg sandwich, which was better than expected. French toast was meh. Service wasn't too shabby, she conveniently gave us all separate checks and we were well stocked on water and coffee.I'd probably go back, we all had a hearty breakfast for under $10 and it was better than the drive thru.
<Date> 2014-03-10
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 8372
<Author> Mari C.
<Author Location> Raleigh, NC
<Title> title
<Content> Wow. Not good. Salad bar was a mix of browning iceberg lettuce and slightly fermenting beets, three bean salad etc. I ordered the Broasted Chicken, blah! not seasoned and thickly coated in a batter. Mashed potatoes were unseasoned Luke warm powdered blah floating in a puddle yellow canned sauce.not a good meal, disappointed after reading good reviews.
<Date> 2014-02-13
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 8373
<Author> Mark C.
<Author Location> Traverse City, MI
<Title> title
<Content> Went here last night as it was near to our hotel. Just fine, nothing earth-shattering. The salad bar was good, chicken & rice soup also good. Two of us had the 1/4 chicken meal, another had the perch. Average around 30$ for our group of four.
<Date> 2013-12-09
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 8374
<Author> Esther S.
<Author Location> Urbana, IL
<Title> title
<Content> This is a great place for senior citizens as it has its own separate page dedicated to senior citizen specials. I would highly recommend the breakfast options here. Their homestyle cinnamon french toast combo was awesome. It includes four slices of round cinnamon bread, two eggs, and two bacon strips or sausage links for $6.99. The service also proved very convivial.
<Date> 2014-05-23
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 8375
<Author> Thomas B.
<Author Location> Glenview, IL
<Title> title
<Content> This is the place with the big EAT sign in front of it. For four years, I was afraid but enticed to enter. Finally I caved to that EAT sign and said, "I must EAT there." What a surprise it was! Here are the surprises1. Their coffee sucks 2. Their fried chicken is AMAZING3. All their pies (especially the pecan) is like awesomeness in your mouth4. The breakfast omelettes are a frown... which is so unfortunate because I can never find a unbusy good brunch place. If you're suspicious like I was, it's worth a try.
<Date> 2011-05-30
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 8376
<Author> Roy H.
<Author Location> Urbana, IL
<Title> title
<Content> This is an Update (July 2011) to my original review from December 2009.This place continues to provide solid workmanlike meals, well-run, nothing flashy, just good food, served by pleasant staff, reasonably priced.Breakfast any time of day. Dinner any time of day. A huge menu, but who needs it they will cook you anything you want and they gladly allow substitutions. Want a cup of chicken soup with your sunny-side up eggs? No problem.Totally remodeled in the summer of 2011, it has a new, traditional American interior, just updated from the 1980 look which is a good thing.
<Date> 2011-07-05
