<Hotel Name> Mas Amigos
<Hotel Address>
<Overall Rating> 2.5
<Avg. Price>
<URL>
<Image URL>

<Review ID> 728
<Author> Maher A.
<Author Location> Urbana, IL
<Title> title
<Content> The chips are so good. Also recommend the torta. Not sure why reviews are so poor compared to the old location...everything tastes the same as far as I can tell.Update: Since I was back a second time to this new location, the quality of the food and service seems to have degraded. I don't think I can reasonably rank this as 4 stars even though the chips continue to impress.
<Date> 2014-02-02
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 729
<Author> Brian V.
<Author Location> Champaign, IL
<Title> title
<Content> I used to eat here all the time when the place was on Springfield and Champaign but the new place in Urbana does not taste the same It has no flavor no seasoning and very slow service And the salsa taste like spaghetti sauce and they don't have their homemade red hot sauce
<Date> 2014-07-28
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 730
<Author> Agastya S.
<Author Location> Soulard, Saint Louis, MO
<Title> title
<Content> By far the worst Mexican food I've ever had. It only gets the 2nd star because the service was decent probably due to being one of three people in here. The salsa had no flavor and looked like vomit. Tried to doctor it with their hot sauce to no avail. Chicken enchilada tasted like bumblebee tuna drenched in ranchero sauce that tasted like tomato soup with a touch of hot sauce. Steak burrito had no flavor and was the size of a taco. Rice and beans are the same the burrito...no flavor! As I received the bill an ant crawled across the table! Awful place! Awful experience!
<Date> 2014-04-24
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 731
<Author> David T.
<Author Location> Madison, WI
<Title> title
<Content> This looked exactly like the place which I typically enjoy - a locally owned, authentic Mexican restaurant. Chips and salsa were very promising but everything went quickly downhill from there. The chicken (Pollo Mas Amigos) - apparently their signature dish was poorly presented (a heaping mass of veggies) and poorly cooked with no flavor - either in the veggies or in the chicken.The desserts were nothing to speak of either. Skip it.
<Date> 2013-10-09
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 732
<Author> RJ D.
<Author Location> Champaign, IL
<Title> title
<Content> I really like this place. It's a nice, cheap Mexican joint with good, greasy food, and probably my favorite Mexican place in Champaign.I've only been to the new location once, but my experience was positive. The food was good; I had the chicken quesadila and my girlfriend had the steak fajitas. There were only three tortillas with the fajitas, but that's only a bit of a quibble. Portions are nice and big, and I liked the chips and salsa. The margaritas weren't the best I've ever had, but they're okay for the price, and they're pretty strong.
<Date> 2013-12-29
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 733
<Author> Jay B.
<Author Location> Champaign, IL
<Title> title
