<Hotel Name> Bacaro
<Hotel Address>
<Overall Rating> 4.0
<Avg. Price>
<URL>
<Image URL>

<Review ID> 1062
<Author> Carly S.
<Author Location> Urbana, IL
<Title> title
<Content> I surprised my girlfriend (from northern Italy) on her birthday with dinner at Bacaro. The atmosphere is very nice and sophisticated. We were promptly seated (we had reservations) at a beautifully set table right by the window. For starters I ordered a negroni and she had a glass of white wine. We then ordered our meal: pizzetta with zucchini and burrata as our antipasto, bucatini and fusili as our primi, and salmon and scallops as our secondi. The appetizer was a little underwhelming, not enough burrata in my opinion. The first plates were very, very good and reminded us both of Italy. There was however, one issue: my girlfriend's plate of fusili came with a hair on it. We told the waitress and she immediately took care of it and was extremely apologetic - very professionally handled. Our second plates were even better than the first. The salmon and scallops were cooked to perfection and left us both wanting more.We finished the night with a caff corretto (on the house). They also gave my girlfriend a birthday present of chocolate dipped biscotti which was very thoughtful and a nice finishing touch to a wonderful night.The unfortunate fact that we got a hair on one of our plates and I am still leaving a 5 star review should speak volumes about this restaurant's quality of food and service.
<Date> 2014-09-23
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 1063
<Author> William D.
<Author Location> Champaign, IL
<Title> title
<Content> You guys. Did you know you can buy bottles of wine retail (to-go, unopened) at 50% off?? You can. The bartenders will chat with you, let you sample, give recommendations, etc. That's not even the best part.The best part, of course, is the food. Bacaro is, by FAR, the best restaurant in Chambana. No doubt. The food is refined and delicious, the service is impeccable, and the wine list impressive. I'm sure the cocktails are great, but I've never bothered. It's true- they are pricey by Champaign standards, but Bacaro is worth it. Go.
<Date> 2014-11-21
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 1064
<Author> Susan H.
<Author Location> Urbana, IL
<Title> title
<Content> This restaurant is sort of hit and miss. I have had some really spectacular pasta with sea urchin. And some fairly mediocre short ribs. This is one of the best restaurants in the area but it wouldn't hold up too much competition elsewhere
<Date> 2014-10-29
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 1065
<Author> Matthis H.
<Author Location> Camargo, IL
<Title> title
<Content> Full confession. I have never been here for dinner, which is the main draw if this restaurant. I went on a Friday afternoon, when they simply have one item for a little lunch special. Well, sweet Jesus it was awesome! This particular day was the Ciabatta bread sandwich with fresh mozzarella, real garden tomatoes, pesto, and cucumber salad for side. $12 including a drink. So good! Get over there and give it a try.
<Date> 2014-08-29
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 1066
<Author> Anne W.
<Author Location> Chicago, IL
<Title> title
<Content> yeah... so what, I have only eaten here twice. Like there could be a bad meal from this spot. Staff is awesome, all of them. Front of house, back of house, big props. I have had food that I had never had (black truffle risotto) , and I have had things I have had before (grilled octopus and pork cheeks!) presentation, quantity, ambiance, vibe, wine, champagne. This is a comfortable yummy spot. When I get my duck in order, I will eat out a bit more often, and well... I can't wait.done shun
<Date> 2014-03-04
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 1067
<Author> Melissa A.
<Author Location> Los Angeles, CA
<Title> title
<Content> Tasting menu sucks. Totally overpriced. Tried several things:- Cauliflower soup: It was okay.. very creamy and not too much cauliflower taste.--------------------------------------Two stars. How did I never know anything about this place when I went to school here forever? Maybe I came here once for a drink.. I can't remember anymore.What a delightful spot with outdoor seating so you can enjoy the summer nights.First.. Sunday is half priced wine days... yum! The Pinot Noir was the favorite amongst the Syrah and Malbec.Second.. the cheese plate was heaven. How delicious! You have to try their jam and the bread is pretty good.We also tried a few things for dinner.. the risotto and pig cheek pasta dish. The risotto was decent but the pig cheek dish was good with a hint of chili.For dessert we tried the ice cream cake which was yummy but quite small. I heard the panna cotte is heaven but they do not serve it anymore because it's been on the menu for a while.. WHAT?!! I know...Overall lovely experience.. I hope they put the pana cotte back on the menu. This is definitely fine dining in downtown Champaign... it's growing up slowly but surely.
<Date> 2013-06-18
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 1068
<Author> Peter F.
<Author Location> Rantoul, IL
<Title> title
<Content> This review is extra late. I came here with my friend when he was visiting from San Francisco. We came the Monday before Thanksgiving and had a reservation, although they were not busy. We had their Market Monday menu since it was Monday. It had a very Thanksgiving theme to it, but my favorite was the beet salad. We also had wine pairings with each course and they were all pretty good, except for perhaps one of the wines. I don't remember which wine it was since this was so long ago. Overall, a nice, quiet dining experience.
<Date> 2014-05-21
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 1069
<Author> Louis B.
<Author Location> Champaign, IL
<Title> title
<Content> Been here many times before and so had certain expectations. Food, service, and ambience always excellent. Well tonight things went quite differently. It was looking like a total disaster. Issues with food service reservations etc. Then Rose (asst mgr) came to the rescue. Within a few minutes everything was made right. Loved Bacaro before, love them even more now. Definitely will be back. Rose was simply amazing!
<Date> 2014-08-19
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 1070
<Author> Alice M.
<Author Location> Champaign, IL
<Title> title
<Content> Wonderful combinations of local ingredients; menu evolves with availability. Quiet, stylish, atmopshere. Sunday 1/2 price wine by the glass is a great deal. You won't regret going to Bacaro. This place would do well in Chicago or any other "foodie" city.
<Date> 2014-07-01
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 1071
<Author> Sherwin C.
<Author Location> Oakland, CA
<Title> title
<Content> This place was a bit of a disappointment for me. I was really excited to try it since I heard the chef was an apprentice of Iron Chef Mario Batali (yes, I love the Food network).The service wasn't great, and even though it seemed fancy, the decor wasn't all that great either.The food is expensive (which I was expecting), but the pasta that I got was pretty bad and for some reason tasted a lot like bacon (which I wasn't expecting). Don't get me wrong, I love bacon, but not when it doesn't have bacon in it and isn't supposed to taste like that at all..I definitely wouldn't go back here, but it was an interesting experience.
<Date> 2007-08-20
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 1072
<Author> Steve B.
<Author Location> Palatine, IL
<Title> title
<Content> Pretty good food but a bit pricey for what you get. Compared to higher end restaurants in Chicago the food here isn't really that expensive and the quality is generally very good. However, there are many places in Champaign which both cook well and charge lower prices as well (usually ethnic food though).Seating is limited and parking can be difficult to find but there's really no doubt that the food served here is the best in Champaign.
<Date> 2011-02-15
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 1073
<Author> Liz J.
<Author Location> Brooklyn, NY
<Title> title
<Content> I wish I could give Bacaro five stars. To be fair, there's a lot to like about it. The quality of the ingredients is high. The ambience is great too. The servers are among the most professional in the C-U area. The food is genuinely sophisticated. However Bacaro's commitment to local, seasonal ingredients, while being one of its strengths, is also one of its greatest weaknesses. The menu at Bacaro is constantly changing based on what ingredients they stock. This tends to result in inconsistent dishes whose preparations are constantly changing. Of three visits I've eaten some bad, ok and great meals.Visit 1:Had halibut with some kind of crust in a mint-gazpacho. The fish was fresh and of excellent quality. This was frustrating however because the fish was coated in a greasy crust that became soggy from the fish sitting in the mint gazpacho. The gazpacho was also greasy and was not pleasantly minty. What could have been a complex, herbaceous broth, wound up tasting like greasy mouthwash. Fantastic ingredients but badly executed prep.Visit 2:Valentine's Day prix-fixe. Three courses all of which were delicious. The appetizer was some kind mediterranean type salad if I recall with olives and I think preserved lemon. Delicious and fresh! My main was halibut again, with some kind of vanilla saffron sauce. The fish was perfectly cooked and the sauce was complex and homey. My girlfriend got the steak and it was of great quality with a strong preparation to match. The dessert was a chocolate torte with blood orange sorbet- good flavors that were well-executed.Visit 3:Pork loin with mustard spaetzle. The spaetzle were delicious! I could eat that spaetzle every day. The pork however was DRY. Really, really dry. I was trying to conserve the mustard sauce on the plate in order to make sure there was enough to get on each slice of pork. It was that dry. So in closing out of three, expensive visits, the food has been good maybe 1.5 times- with me being able to say I enjoyed one complete meal (valentine's day) and the side of one of my mains (the spaetzle). If the food was consistent, Bacaro would be an easy 5-stars. Hopefully they can strike a balance moving forward between rotating fresh, seasonal ingredients and maintaining a consistently-executed menu.
<Date> 2012-02-27
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 1074
<Author> Julie K.
<Author Location> San Jose, CA
<Title> title
<Content> This is the perfect place to stop in after a longday of visiting family and friends. Not too noisy, good food, and any beverage you like. We didn't order entrees just appetizers and salad. Theystill sent out an Amuse-Bouche and sliced baguette with olive oil. Nice. We wish we would have been hungry enough for a full dinner but we had been eating all day long. Next time I think I will budget my stomach space and leave some room for Bacaro. You should too.
<Date> 2012-10-30
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 1075
<Author> Ron L.
