<Hotel Name> China Garden
<Hotel Address>
<Overall Rating> 3.5
<Avg. Price>
<URL>
<Image URL>

<Review ID> 1161
<Author> Camily N.
<Author Location> Urbana, IL
<Title> title
<Content> This place has everything you could want from a Chinese take-out. Cheap, delicious, and fast.The combination plates are excellent for the price, getting you a choice from a dozen or so entrees, fried rice, and an egg roll for about $8. It's so much food that I normally get two meals out of it, which is a hell of a deal. Try it!
<Date> 2012-05-08
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 1162
<Author> Matthew W.
<Author Location> Urbana, IL
<Title> title
<Content> After trying their pork egg roll from a friend, I thought their food was quite good so I decided to go for lunch. First the place is definitely a great value and rather fast. I ordered the Hot & Sour soup and Chicken fried rice. Both dishes had decent seasoning and tasted good except for the chicken. There was a couple pieces of chicken in the Hot & Sour soup which had no flavor as if added as an afterthought or fell in. The chicken in the fried rice did not retain any flavor either and was actually kind of wet/slimy. At first I thought maybe it wasn't fully cooked but rather I think it is the chicken piece used. I got a bit of fat and almost skin-ish instead of just the standard chicken breast. So I just ate around it. I'd recommend staying away from the chicken but the dishes were not bad and as previously stated the pork egg roll was good.
<Date> 2014-10-29
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 1163
<Author> Tim B.
<Author Location> Erie, PA
<Title> title
<Content> Similar to other reviews, I came for cheap and fast Chinese. Be careful - when they say "steamed" they mean "not seasoned". Unfortunately the food is flat and rather boring. There is an insane amount of variety on the menu to be overwhelming - this is typical of smaller Chinese places in my experience, but still disappointing. Why not feature several things you do well, instead of an innumerable amount of things you do dreadfully?Had mixed steamed vegetables with a brown sauce over white rice. Everything was absolutely scary - I had chicken, but it was absolutely unidentifiable as chicken. Scary.
<Date> 2014-07-24
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 1164
<Author> Tim D.
<Author Location> Walnut Creek, CA
<Title> title
