<Hotel Name> Sams Cafe
<Hotel Address>
<Overall Rating> 4.0
<Avg. Price>
<URL>
<Image URL>

<Review ID> 1468
<Author> Patrick T.
<Author Location> Champaign, IL
<Title> title
<Content> The perfect inexpensive diner experience - even though it's a small place, we have been there several times and have never had to wait to sit (including a weekend morning). Don't get me wrong, there's always people there, just always seems to be a table ready!We are not big eaters so we get a half order of French toast, breakfast special, and a side of grits - and split that all between us and our 1 year old daughter. French toast is unique and excellent, and the breakfast special is exactly what it is supposed to be - eggs, sausage (or bacon), toast, American potatoes, and coffee, and prepared how you like it.Everything including a milk for the daughter is $20 with tip.Service is awesome - everyone is super-friendly.1/2 star reserved for the inconvenience of not accepting credit/debit cards - that would make this place 5 stars! For now, make sure you keep an Andrew Jackson on ya!
<Date> 2014-11-07
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 1469
<Author> Mark C.
<Author Location> Des Moines, IA
<Title> title
<Content> Sam's Cafe, is a diner our host choose to take us and if you like a good breakfast diner this is your spot! All I had was coffee cause I'm not a huge breakfast kinda guy... But the Coffee was awesome! Way better then your normal bottomless pot type diner coffee.The rest of the gang ordered Omelettes, and French toast and both looked superb.. They were excited by the amount of food you can get for not much moola! Everyone was super stoked about our Sam's stop, and the staff was great and kept my coffee full!
<Date> 2014-04-30
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 1470
<Author> Spencer M.
<Author Location> Urbana, IL
<Title> title
<Content> The biggest flaw of this place is the extremely slow wait times. There seems to be only one cook. I set my parking meter to an hour and twenty minutes and it was expired by the time I returned to my car. That meant that we waited around fifty minutes for our food. The staff is relatively amiable. However, I did catch them complaining about a customer who wanted her order done sooner. They talk about that customer as if she was in the wrong. Another problem are the extremely small tables. Its greatest strength are its really good prices. The breakfast special is $4.75 I believe for two eggs, two pancakes, and two sausages or bacon. It costs $6 if you want to include the misnamed American fries and coffee. Their "American" fries is actually very soft hash browns.
<Date> 2014-05-23
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 1471
<Author> Nina M.
<Author Location> Champaign, IL
<Title> title
<Content> The service was slow, despite it not being busy. When our good finally arrived, it wasn't particularly excellent. The eggs and potatoes tasted a bit like burnt spatula. It wasn't a bad meal, but it didn't warrant the 30 minute wait we experienced before getting it. Refills to our coffee were few and far between. Getting the check at the end was also a nightmare, taking a good 15 minutes.
<Date> 2014-08-17
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 1472
<Author> David R.
<Author Location> Romeoville, IL
<Title> title
<Content> After seeing the reviews of this place a friend and I decided to try it. We were completely disappointed and frustrated afterwards. When we first walked in I totally thought of turning around to leave, but I tried not to 'judge a book by its cover'. So we sat down and the service was just terrible. He talked way too fast and barely gave us time to respond. Didn't like him at all. As for the food, we ordered their special - eggs, sausage, American fries, and pancakes. EHHHHH! It was edible, sure, but delicious? Yeahhhh, no. I only ate it because I was really hungry and we had to pay for it anyway. The only positive thing I could say is it is cheap, so if you don't want to spend a lot on breakfast then I GUESS you should visit this place. By the way, CASH ONLY!* Another problem we had here.
<Date> 2014-04-25
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 1473
<Author> Kim N.
<Author Location> Chicago, IL
<Title> title
<Content> This greasy spoon effectively fills its downtown niche: no-frills service, no-frills food, and no-frills decor. I wanted a Denver omelette but their version had onions, tomatoes, and ham instead of the expected onions, peppers, and ham. Oh well, I ordered it anyway. It was very good and PIPING hot. I burned my mouth on the end when I started eating, and on the middle part several minutes later. I also got a short stack of flapjacks for "dessert" and they were okay. Top it all off with a cold glass of OJ and you have yourself a decent breakfast for $10.16. I was here around 9 am on Sunday, and had no trouble getting the seat of my choice. When I left, it was close to filling up, and I don't doubt that the college kids roll in here starting mid-morning.
<Date> 2008-09-28
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 1474
<Author> Jessica S.
<Author Location> Seattle, WA
<Title> title
<Content> They have the best French toast. My husband always ordered Denver omelette where we were here. The price is also very reasonable :)
<Date> 2014-08-07
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 1475
<Author> Nicole S.
<Author Location> Bloomington, IL
<Title> title
<Content> French toast is amazing! We were told it's better and thicker when Sam is working but it was still extra yummy. Imagine if a pancake mated with french toast and danced in cinnamon... yeah that good. Bacon was fresh and the right balance of crispy without being overdone. Scrambled eggs were made of real eggs and the hashbrowns (American fries) had a buttery taste we loved. Unpretentious, hole in the wall that is worth the drive. Cash only and bring change for the parking meters.
<Date> 2010-06-19
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 1476
<Author> Liz P.
<Author Location> Houston, TX
<Title> title
<Content> It's like stepping back in time where diners like this were a staple for breakfast for many. They had many tables in the back where the good old boys were catching up over their breakfasts. It might look run down or old, but everything looked clean. The server was nice and attentive. I had the breakfast special with 2 scrambled eggs, crispy bacon, and fluffy pancakes. Nothing fancy, but you could tell the guy at the grill had the experience of cooking many a breakfast like this over the years. Very inexpensive too. You find the bathrooms by going through back door to storage area and it's to your right. Simple food but simply good too.
<Date> 2014-05-28
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 1477
<Author> Good G.
<Author Location> Chicago, IL
<Title> title
<Content> I stopped in here for breakfast the other day, and it was pretty excellent. I had the breakfast special for about $4.25, and it included two eggs, a few slices of bacon, and a short stack of outstanding pancakes. The server was very friendly, and the food was brought out quickly. I'd highly recommend this place for a low-key diner-style breakfast.
<Date> 2013-09-08
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 1478
<Author> Cat C.
<Author Location> Mahomet, IL
<Title> title
<Content> This place is what it is. A cheap greasy spoon dive with a cash only policy. If that sounds repulsive to you, don't go!If not, go and definitely have the French Toast.Service is ok at best but wth?
<Date> 2014-05-25
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 1479
<Author> Stacy S.
<Author Location> New York, NY
<Title> title
<Content> I'm such a huge fan of hole-in-the-walls. As my friend Andrew W. once said, they have nothing else going for them but their food. Therefore, the ones that stay open are successful by the sole virtue of their food. And that's exactly why I'm giving 5 stars to Mr. Sam and his cafe of dive heaven. I have many regrets from my college career. One of these is that I didn't discover Sam's until late in the game. I get to experience two of my favorite words here: CHEAP BRUNCH. Breakfast platter special for $3.75??? Fluffy french toast for under $5???? Pancakes? Omelettes!!!?? OH YES PLEASE GIMME NAO I WANT IT I WANT IT SO BAD.Footnotes:DO NOT eat here if:- you are on a diet. I don't think the cooks know what that word means. No Lite Butter or Diet Fat Free Bacon to be found here.- you are a snob. The "decor" consists of plastic furniture and faded ads in lieu of actual ceiling tiles. - you are a germaphobe.... but really, why would you be? Snap out of it, take a class in immunology. Germs ain't got nothin' on you. (Sorry, bio nerd leaking through.)DO eat here if:- you are a broke-ass college kid. Full meals for under $5 ... how could you resist?- you love breakfast foods. The french toast is particularly noteworthy.Advice: CASH ONLY; FOR BFAST, CLOSES AT 2 PM (I think - it's been a long time since I was there. It's either 2 or 1...)
<Date> 2011-02-10
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 1480
<Author> Teej T.
<Author Location> Phoenix, AZ
<Title> title
<Content> So I am from Phoenix, AZ, but recently visited Champaign with the boyfriend for the holidays. I have been hearing about Sam's breakfast, in particular the french toast, for months now. I love french toast, it is my favorite breakfast food. I wasn't expecting much, thinking that it was sure to be less fantastic than my boyfriend claimed it to be.Sam's is the epitome of a greasy spoon.  No frills decor, you walk through the kitchen to get to the bathroom and your table is likely to be wobbly. The server took care of us but was busy with other tables so the service was polite and attentive but short and sweet. We each ordered a breakfast special and then split an order of french toast. The breakfast special items (eggs, meat, toast, hashbrowns) were basic but good. The french toast? Ridiculous. Seriously, the best french toast I've ever had. The cook dips the bread in thinned out pancake batter and then fries it up. It is rich, crispy and seasoned with powdered sugar and cinnamon. It was a tasty breakfast on a cold, rainy day. When the Illini basketball team walked in the door, my boyfriend was in heaven. At the end of the meal we realized that we didn't have any cash and Sam's doesn't take cards. Because my boyfriend was a regular in his college days, Gus, the owner, was nice enough to let us leave, get some cash and come back to pay. Our total was about as pleasing as the french toast. 12 bucks and change for two coffees, two specials and french toast. Crazy cheap. Sam's is far away from home, but we'll visit everytime we're in Champaign.
<Date> 2009-01-01
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 1481
<Author> Amanda W.
<Author Location> Urbana, IL
<Title> title
