<Hotel Name> Manzellas Italian Restaurant
<Hotel Address>
<Overall Rating> 3.5
<Avg. Price>
<URL>
<Image URL>

<Review ID> 1520
<Author> Paul D.
<Author Location> Chicago, IL
<Title> title
<Content> I think I've only actually set foot in this place one time, and as I recall, it's pretty cozy.Whenever I come back home and stay with my family, we always order delivery from here and it's consistently good. The pasta is pretty well made and the sauces are simple, but delicious and hearty.
<Date> 2011-01-04
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 1521
<Author> Martin M.
<Author Location> Houston, TX
<Title> title
<Content> My family has been coming here for years. I remember having my Little League banquet here when I was 11 or 12. Thinking back, it was kind of a dump then, and it is a dump now. There are two dinning rooms, and an old carpet that looks like it is older than me. They have those old Chianti bottles (the cheep kind) hanging from the ceiling. Cheesy looking maps of Italy hung everywhere and mounted in the glass of the tables. This place has not been updated since the 70's, and it shows. Still surprisingly welcoming after all these years.The service is fast and friendly. Though, considering not many people come here, I think they are just happy when a party walks in. Food comes out quick as well.The food is that over stuffed cheese and sweet marinara sauce faux Italian that is found all over the country. Manicotti is bland, except for the overly sweet sauce. For an app we had fried ravioli. Which was OK. The pizza, again OK. An overly garlicy crust. Canned sardines, the pasta is probably not freshly made. An average wine list, crap beer list.Saying all that, this place still has a special place in my heart. Years of coming here as a kid and with family makes this worth the nostalgic visit every once is a while when I come back to visit the family. Though I wish Dom's was still open...
<Date> 2013-03-30
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 1522
<Author> Ana L.
<Author Location> Tacoma, WA
<Title> title
<Content> Restaurant hasn't changed in more than thirty years and is very dated. The food is generally good, and service is average.
<Date> 2014-03-10
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 1523
<Author> Tim J.
<Author Location> Urbana, IL
<Title> title
