<Hotel Name> Crane Alley
<Hotel Address>
<Overall Rating> 3.5
<Avg. Price>
<URL>
<Image URL>

<Review ID> 1540
<Author> Paige M.
<Author Location> Urbana, IL
<Title> title
<Content> This is a great place to come for a drink and a late night meal. Last night, we had the poutine and a couple of $4 flights. With a friendly staff, this is one of our regular Urbana spots to visit.Octoberfest here is phenomenal!
<Date> 2014-08-19
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 1541
<Author> Allan C.
<Author Location> Ann Arbor, MI
<Title> title
<Content> While I was a student at UIUC, it never crossed my mind to go here. Only after I graduated and moved away did I come to like beer and realize how many opportunities I had missed in Champaign/Urbana...So when I was in town visiting, I finally had a chance to go here. I thought the beer selection was good, but I would have preferred more options on tap. Because I'm used to the higher cost of living in Ann Arbor, the beer prices seemed reasonable, especially for flights. That said, I expected them to be slightly lower, since it's Urbana and not Ann Arbor.The menu looked great. I got the porter marinated steak and was really excited because everything about it sounded like exactly what I wanted. The food was somewhat disappointing, though. I wouldn't say it was bad, but it was a little bland and just didn't live up to my expectations. If I come back, I'd probably just get a burger or sandwich.Service was fine. Our waitress checked on us just enough, and food came out in a reasonable amount of time.I'd definitely stop here again if I'm in the area, but I wouldn't be too upset if I couldn't.
<Date> 2014-10-21
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 1542
<Author> Christopher C.
<Author Location> Chicago, IL
<Title> title
<Content> Their desserts are now made in house and are pretty fantastic. The mint cheesecake isn't heavy and is refreshing.The cheesecake in general here is way better than the cheesecakes I could find in St. Louis. Seriously.They seem to have a rotating thing of desserts but if you see the carrot cake get that too. It's a lot more delicate than what I'm used to.
<Date> 2014-08-16
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 1543
<Author> Raechel H.
<Author Location> Urbana, IL
<Title> title
