<Hotel Name> Lil Porgys Bar-B-Que
<Hotel Address>
<Overall Rating> FAIL
<Avg. Price>
<URL>
<Image URL>

<Review ID> 372
<Author> Kevin K.
<Author Location> Ann Arbor, MI
<Title> title
<Content> Fantastic smokey pig value.I followed the smell of smoked meat here; good start. Ordered the 8oz rib tips with a spicy pickle, hot BBQ sauce on the side. Flavor of meat was perfectly smokey with good bark, though drier than most (which I prefer to gum-able, fall off the bone). I found the sauce to be too sweet, tasted like apple pie, but wasn't unpleasant when combined with the rib tips; definitely get it on the side. Not very hot for being 'hot'.Pickle was very good. Fries were fine.Very good portion size and quality for a meal under $7. Atmosphere is what every bbq place should be.If I lived here, I'd get takeout and make my own mustard sauce.
<Date> 2014-06-14
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 373
<Author> Chendidi L.
<Author Location> Waunakee, WI
<Title> title
<Content> Had the ribs with the mixed sauce. They just weren't very good. They were tolerable, but it wouldn't be a place I'd go back to. The prices were good though.
<Date> 2014-11-19
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 374
<Author> Bryan S.
<Author Location> Champaign, IL
<Title> title
<Content> This place has my favorite rib tips and side bread. The price is very reasonable and they serve a large amount of food for their price. I didn't give it a five because the restaurant is small and kind of dirty. So I do take puts for most of them times.
<Date> 2014-11-12
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 375
<Author> David W.
<Author Location> Waukesha, WI
<Title> title
<Content> Porgies has been a staple of my life since birth. Tub o tips, extra spicy sauce, and the sweet taste of a jumbo lemon shake up can make the gloomiest of days shine bright. Perfect for an afternoon snack or a late-night feast, I recommend Porgys to any food loving soul.
<Date> 2014-09-28
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 376
<Author> Eva S.
<Author Location> Saint Louis, MO
<Title> title
<Content> yes yes yes yes yes, this place is legit due to the fact that you get huge portions for a very low price. Daily specials are all worth trying out, personally half chicken + fries + drink on sunday is my favorite.Another thing worth trying out is their 2 pound rib tips. so much food for 15 dollars. always get their sauce on the side, they give you way more sauce and you can use it to dip your fries and bread in too.i prefer mixed on the side
<Date> 2013-07-17
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 377
<Author> Matthew A.
<Author Location> Skokie, IL
<Title> title
<Content> This place has the best BBQ hands down! You can actually get it delivered now. The Sunday special is their best deal with half a chicken, fries, two slices of white bread and an insanely HUGE cup of sweet iced tea or lemon shake-up for around 6 bucks. You get a choice of mild, mixed, hot or extra hot BBQ sauce. I'd recommend getting the sauce on the side and getting the mixed if you like spiciness, but still want to taste your food.Their rack of ribs is pretty good and they have turkey legs, if you're a fan. They cook everything right on the grill and you can get a whole lot of food for your money. Lil porgy's has turned into a Sunday afternoon tradition.
<Date> 2009-12-27
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 378
<Author> Crystal B.
<Author Location> Manhattan Beach, CA
<Title> title
