<Hotel Name> Houlihans
<Hotel Address>
<Overall Rating> 3.0
<Avg. Price>
<URL>
<Image URL>

<Review ID> 2761
<Author> Casey V.
<Author Location> Chicago, IL
<Title> title
<Content> Came here for a conference and got to enjoy the reception here at the on site restaurant. Great wings, pizza, spinach dip, and fried mushrooms. Also great service at the bar! The bar tenders were extremely accommodating and found chargers for my friend and I (with different phones) after ours had died.I would say 5 for service, and 3 for food.
<Date> 2014-07-29
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 2762
<Author> Ashley M.
<Author Location> Upland, CA
<Title> title
<Content> Came here with a party of 15 (we had a reservation). They were completely unprepared for us. We arrived at 7 and they first tried to seat us at a table for 8. They then moved us to the bar area and sat us on 4 different round high top tables. Whatever, we can make that work.We all ordered our drinks and it took over 20 minutes for them to all be delivered. Mind you, many of us just ordered water to start with as we were going to be going out afterwards. 20 minutes is just insane to wait for water!Another 20 minutes goes by and our waiter (who's name I never caught) FINALLY came to take our orders. We knew it would take awhile for our food so we all sat and chatted. Food finally started coming out and as it came out he had no idea who ordered what, so we had to figure out what was on the plate and who ordered it. My food was alright, though at first it didn't come with the potato's that I ordered. Instead of just bringing me a side, he took my entire plate back and came back with mashed potato's very haphazardly placed on the side.One of our diners didn't get their food until almost everyone had already eaten. She ordered chicken tenders...they aren't that difficult to make!So up until this point we were all a bit peeved but could deal with it.The real disaster hit when he went to give us our tickets. Out of 15 checks, only 2 of them were right. He charged a pregnant lady 2 alcoholic beverages! It's not like he just gave her the wrong ticket, she was the only one that ordered what she got! So he just had no idea who ordered what.I got my check and it had an iced tea on it that I didn't order. He took my check to take it off and I didn't get a new check for another 30 minutes. I almost walked out without paying because we were getting tired of waiting, but I'm an honest person and I wouldn't have felt right leaving without paying.FINALLY the manager came out to assist him. Why wasn't she there the entire time? I have no idea! But she was about as much help as a log. She apologized, of course. But did we get any sort of compensation? Nope. She did decide to send the person that the party was in honor of a gift card to come back. Something tells me that gift card will go unused. I know I will never return to this establishment.Why was that poor waiter left on his own with a party of 15? Why didn't ANYONE help him? I saw at least 3 or 4 waiters pass by our table and not a single one of them thought that maybe he was struggling. Now, don't get me wrong...our waiter was about as personable as a stick in the mud, but still...we couldn't help but feel sorry for him, he obviously had no support from management.Get it together, Houlihan's. If you can't handle a 15 top, don't allow them. I doubt ANY of us will ever return to your establishment. And you really put a damper on what was supposed to be a really awesome night for our bride-to-be.
<Date> 2014-09-15
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 2763
<Author> Ankit S.
<Author Location> Albuquerque, NM
<Title> title
<Content> This is not the Houlihan's of my childhood! This is a classy, someone expensive, upscale establishment. With 4 adults and 2 toddlers, we were seated (thankfully) away from all the other guests (it was early maybe just 5p so there was a lot of extra space). The food was good and the staff was friendly and helpful. I don't live in the area, but if I did, I would be adding this to my list of go-to places for when company is in town.
<Date> 2014-07-28
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 2764
<Author> Jamie L.
<Author Location> South Bend, IN
<Title> title
<Content> Great food! Excellent place to eat out near campus. Could do better with reservations. They have missed mine twice.
<Date> 2014-09-12
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 2765
<Author> Kristin J.
<Author Location> Champaign, IL
<Title> title
<Content> I've been here on numerous occasions. At least 6 times. It's a convenient location and I always think my bad experiences are a fluke. I've come for brunch once, that was a bust. My other visits are during dinner. Of all the dishes I've tried, the worst was the veggie burger. Cold white rice with a few black beans thrown in and shaped into a patty.I'd prefer a bowl of cereal at home over this place. Hands down.
<Date> 2014-03-05
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 2766
<Author> Pete B.
<Author Location> Gloversville, NY
<Title> title
<Content> Fantastic dinner last night. Seared ahi tuna and calamari for apps, scallops and stuffed chicken for dinner. The food was very good. I expected to wait much longer than we did for food since the campus was flooded with marathon runners. In and out in about an hour. My only complaint is with the service. Our waiter looked like he had just rolled out of bed and was annoyed he had to work. By the end of the meal we were finally able to get one smile out of him. Will definitely be back!
<Date> 2014-04-26
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 2767
<Author> Amanda B.
<Author Location> Chicago, IL
<Title> title
<Content> I actually think this place is decent for a nicer version of TGI Friday. Service was good. Food was nicely decorated and tasted good. I got the filet mignon which was good but it wasn't worth 22 bucks. my friends on the other hand got fish tacos and they all liked it ($10). we got Bruschetta(?) for appetizer which was really good. Ambiance was cool. Decent (albeit expensive) drink menu. I mean, it's a fine dining version of TGI, what did you expect?Overall, I enjoyed my visit there. I would go back there again.
<Date> 2010-03-25
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 2768
<Author> Sam N.
<Author Location> Orland Park, IL
<Title> title
<Content> I agree with the first review...I get the feeling it is a step up from Friday's, but is a bit more trendy and refined. I was impressed nonetheless. The lighting was intimate and a great start to the evening of debauchery ahead.I had the herb-grilled chicken. Healthy, delicious. As a desert, my date and I split a creme brulee and a white chocolate banana cream pie. HEAVEN on my Houlihan's table!
<Date> 2009-06-30
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 2769
<Author> S R.
<Author Location> Danville, IL
<Title> title
<Content> Don't come here on game day because you'll get a "special event" menu and there isn't anything good on it. Yes this makes it easy for kitchen and staff, but it inconveniences the paying customer. Why even stay open. The service is ok, but you can tell some employees don't want to be here.Skip it on Illinois game days.
<Date> 2013-09-28
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 2770
<Author> Bob S.
<Author Location> Sharon, MA
<Title> title
<Content> I stay at the IHotel for business often (bi-weekly) and have had dinner at Houlihan's on many occasions. This restaurant is very consistent. I haven't had a bad meal yet. The filet mignon with mashed potatoes hits the spot on a cold night in U-C. I'm pretty addicted to their Fat Spaghetti and Potstickers. Weird combo? Yes, but I crave them as soon as I check into the hotel. The waitstaff is excellent, but a couple of the hostesses could be a tad "warmer". Overall, this is great spot.
<Date> 2014-01-25
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 2771
