<Hotel Name> Zas Italian Cafe
<Hotel Address>
<Overall Rating> 3.5
<Avg. Price>
<URL>
<Image URL>

<Review ID> 2854
<Author> Cletus S.
<Author Location> Chicago, IL
<Title> title
<Content> Restaurant reviewI am glad that I am back by Za's after moving back to Champaign. This was my favorite place to eat at on campus when I was a medical student. Now that I am back I have found out that there are multiple locations which works out well. I tried this other location before the springfield avenue. Very similar experience. The prices are actually cheaper than when I was here for college due to a modification in the menu. For the pasta you get to select from multiple types and sauces with 4 toppings for 5 dollars. The premium protein items i.e shrimp, meatballs, chicken will run you a dollar more each. The food is prepared quickly, however I don't know if they changed it now to use a convection oven/microwave to nuke your toppings which is one down side. This is then added to a pan with the sauce and served quickly. You also get a nice piece of garlic bread. All and all this is better than McD and for the same price. There are also other options such as pizza, salads, sandwiches etc. I have never strayed from the pastaPro: inexpensive, quick, large portionsCons: microwaved toppings (i guess you get what you pay for)Hidden gem:Sign up for the perka app. You need to check in and tell the cashier so they can give you the punch to earn free food. I did not realize this and ended up not getting my first check-in. You can't just check-in which makes sense or people would abuse the system
<Date> 2014-07-11
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 2855
<Author> Suzanne Z.
<Author Location> Chicago, IL
<Title> title
<Content> Not too thrulled with they food. Pizza wus aight. I would not rite home to brandine about it. U have to rite down wut u want on a peece of paper and give it to the lady. I dont rite so good. But I do my best. U got a problem wit me?
<Date> 2014-06-15
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 2856
<Author> Dave R.
<Author Location> La Grange, IL
<Title> title
<Content> I didn't go to U of I, but when I am in that area, I demand to stop here! The line is facilitated well with menu cards to check off what you want, and the meal will be ready, hot and fresh in 10-15 minutes. The food is awesome! I've tried pizza and some sandwiches and have not been disappointed. Prices are college-kid friendly. It's like an italian Panera, but x100 better!
<Date> 2014-06-19
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 2857
<Author> Lucas W.
<Author Location> Strasburg, VA
<Title> title
