<Hotel Name> Chilis Grill & Bar
<Hotel Address>
<Overall Rating> 2.5
<Avg. Price>
<URL>
<Image URL>

<Review ID> 2875
<Author> Nelson M.
<Author Location> Mahomet, IL
<Title> title
<Content> Consistently good food and service - good drinks - good specials - fresh guacamole chips and salsa.The presidente margarita is delicious.Seat yourself in the bar area without waiting.
<Date> 2014-11-01
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 2876
<Author> John B.
<Author Location> Chicago, IL
<Title> title
<Content> Restaurant reviewLunch combo time 6-7-8, quite inexpensive but I can't say that I was particularly enthralled by the food. I was shocked to see people take a few bites of their food and just leave it. It must have been that bad I guess. I ended up with the loaded baked potato soup that was somehow cold... Bacon Avocado Chicken Sandwich followed which I was shocked to see that it was half size for the lunch special. Very thinly cut avocado. All and all this was a below par meal. On top of that our server was not all too friendly trying to upsell drinks which we did not want. She came twice once to drop the food off and once again to bring us the bill. Pro: lunch combo for cheapCons: below average food, I had cold soup...Hidden gem: Dinner promo 2 for 20 dealSign up for email alert to deals and coupons, birthday free dessert
<Date> 2014-07-11
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 2877
<Author> Benjamin U.
<Author Location> Cissna Park, IL
<Title> title
<Content> Don't touch the Ziosk !!!! You will be charged$1.99 for everything you do. Our waitress got it taken off but very disappointed we had to go through the process. Food was good, service was good, Ziosk was bad!
<Date> 2014-09-27
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 2878
<Author> Lisa B.
<Author Location> Champaign, IL
<Title> title
<Content> Had the 10ounce sirloin with cheesy mashed potatoes and loaded fries to replace the steamed broccoli at this location. Both of our steaks were way under done after asking for medium and medium well respectively, my fries tasted unseasoned, and the mashed potatoes were adequate but not great. I think I got a decent amount of food for the price but it could have been better. I like this location and figured they were having an off day. Our waitress did a great job being attentive and addressing our needs with the steaks. She gets 5 stars if I were rating her apart from the overall experience. I figure this is a fluke from an ordinarily good place to get fed at a reasonable price so I'm giving 1 star for past experiences, and 1 star for our waitress (although she'd get 5 if I were rating her apart from my experience.
<Date> 2014-05-14
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 2879
<Author> Chrystina Z.
<Author Location> Champaign, IL
<Title> title
<Content> I ordered the chips & salsa with a house margarita & the grilled shrimp tacos for dinner. Holy Toledo was it ever hot! My mouth was on fire!! I was so stuffed from drinking so much water I couldn't finish the tacos. They were really good too. The outside of my mouth even started to burn and I thought my throat was going to close shut. They were so good!!!I love Chilis but I think I might be allergic to the peppers they use because I thought I was going to die! But they were really good............:-)
<Date> 2012-10-05
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 2880
<Author> Draft M.
<Author Location> Washington, DC
<Title> title
<Content> My, how I loathe chain restaurants. But sometimes, you are stuck eating at them bc it's a group decision. I ordered the sweet & spicy chicken served with rice and steamed broccoli. This is one of their "lighter choices" coming in at 590 calories... there's a reason for that. It's a small meal portion-wise with a noticeably small chicken breast. I easily cleared the plate. The service here was spotty - took about 2 hrs for 3 of us to be served (no app or dessert). I guess if you're eating out, order something more fun. This leaves you unfulfilled.
<Date> 2013-02-10
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

<Review ID> 2881
<Author> Frankie Q.
<Author Location> Atlanta, GA
<Title> title
