<Hotel Name> B Won
<Hotel Address>
<Overall Rating> 3.5
<Avg. Price>
<URL>
<Image URL>

<Review ID> 3026
<Author> Jj W.
<Author Location> Urbana, IL
<Title> title
<Content> I keep getting the tofu stew with seafood (p13 b) and my fiance gets the spicy squid (s5). I am sure the other food is good because it smells and looks fabulous, but we cannot stop ordering these two amazing dishes over and over. Great korean side dishes, good service, great prices, Wonderful place.I'll take a star off because they don't send out the tables entrees together at all. Everything just comes out whenever.
<Date> 2014-09-04
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 3027
<Author> Pi B.
<Author Location> Ithaca, NY
<Title> title
<Content> like this place a lot. Good food and good service, and food is usually slow when they are busy, I tend to go at off peak hours and the food never let me down. Decent amount of side dishes, huge serving size.
<Date> 2014-06-17
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 3028
<Author> David W.
<Author Location> Chatham, IL
<Title> title
<Content> Great food! Best Korean in town. Service can be slow but as expected. Owner is super friendly and personable.
<Date> 2014-11-14
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 3029
<Author> Eric K.
<Author Location> Saint Louis, MO
<Title> title
<Content> If you are looking for a ton of opening small dishes, this is the place to go. The service and the rest of the food is mediocre and I would definitely recommend other Korean joints in town for specific things. I'm not Korean but from my korean friends this place is a more Authentic Korean place, but beats me, I thought the food here wasn't as good as say, Woorijib, Aririang, or Star Karaoke. This place definitely had the best side dishes though, they give like 6-8 of em and they will refill all of them for no charge
<Date> 2013-07-25
<Overall> 3.0
<environment> 3
<taste> 3
<price> 3

<Review ID> 3030
<Author> Erin Y.
<Author Location> Chicago, IL
<Title> title
