Aspect_0	Aspect_1	Aspect_2	Aspect_3	Aspect_4	alpha	beta	data	aux_data	sigma
-1.103:0.123	-0.374:0.056	-1.738:0.220	-1.230:0.170	-2.510:0.219	11.812	16.932	2.600	5.413	-1.752
-1.103:0.000	-0.369:0.000	-1.741:0.000	-1.218:0.001	-2.521:0.002	0.058	15.362	13.589	2.796	-1.851
-1.122:0.002	-0.334:0.090	-1.745:0.018	-1.230:0.002	-2.522:0.043	2.330	13.024	5.798	6.690	-2.802
-1.148:0.018	-0.284:0.362	-1.732:0.059	-1.252:0.014	-2.536:0.039	7.379	12.121	2.556	8.333	-4.571
-1.168:0.026	-0.232:0.453	-1.730:0.066	-1.271:0.023	-2.551:0.035	9.035	12.229	4.719	10.742	-5.728
-1.161:0.021	-0.187:0.394	-1.741:0.078	-1.264:0.019	-2.599:0.019	7.958	11.581	0.219	10.157	-9.953
-1.158:0.022	-0.184:0.399	-1.736:0.088	-1.258:0.020	-2.617:0.013	8.131	11.606	0.007	10.513	-17.559
-1.149:0.022	-0.181:0.392	-1.739:0.090	-1.248:0.021	-2.636:0.012	8.050	11.637	0.000	10.416	-28.638
-1.147:0.021	-0.181:0.392	-1.740:0.092	-1.246:0.020	-2.639:0.012	8.050	11.637	0.138	10.420	-33.324
-1.147:0.021	-0.181:0.392	-1.740:0.092	-1.246:0.020	-2.639:0.012	8.050	11.637	14.999	10.420	-33.324
-1.147:0.021	-0.181:0.392	-1.740:0.092	-1.246:0.020	-2.639:0.012	8.050	11.637	15.000	10.420	-33.324
